type,time,latitude,longitude,altitude (m),name,des
T,30/12/2017 20:29,45.508219,-73.556379,9.9,,
T,30/12/2017 20:29,45.508538,-73.5562,5.6,,
T,30/12/2017 20:29,45.508825,-73.556187,-3.5,,
T,30/12/2017 20:30,45.509027,-73.556457,-3.1,,
T,30/12/2017 20:30,45.509165,-73.556819,-9.7,,
T,30/12/2017 20:30,45.509103,-73.557209,-13.8,,
T,30/12/2017 20:30,45.508706,-73.557499,-13.4,,
T,30/12/2017 20:30,45.508204,-73.557846,-16,,
T,30/12/2017 20:30,45.507822,-73.558151,-18.4,,
T,30/12/2017 20:30,45.507438,-73.558464,-19.3,,
T,30/12/2017 20:30,45.50686,-73.558908,-19.2,,
T,30/12/2017 20:30,45.506368,-73.559287,-19.6,,
T,30/12/2017 20:30,45.506047,-73.559606,-18.7,,
T,30/12/2017 20:32,45.492353,-73.57414,6.4,,
T,30/12/2017 20:32,45.491939,-73.57452,8,,
T,30/12/2017 20:32,45.491421,-73.574816,5.9,,
T,30/12/2017 20:32,45.491142,-73.575086,5,,
T,30/12/2017 20:33,45.490724,-73.575357,3.4,,
T,30/12/2017 20:33,45.490275,-73.575614,0.4,,
T,30/12/2017 20:33,45.489985,-73.575772,-1.7,,
T,30/12/2017 20:33,45.489711,-73.576052,-3.5,,
T,30/12/2017 20:33,45.489356,-73.576411,-3.7,,
T,30/12/2017 20:33,45.48915,-73.576588,-3.2,,
T,30/12/2017 20:33,45.489104,-73.576655,-4.7,,
T,30/12/2017 20:33,45.488927,-73.576795,-3.4,,
T,30/12/2017 20:33,45.488758,-73.576764,-4.2,,
T,30/12/2017 20:33,45.488591,-73.576504,-6.3,,
T,30/12/2017 20:33,45.488404,-73.576228,-8.6,,
T,30/12/2017 20:33,45.488232,-73.575959,-11.1,,
T,30/12/2017 20:33,45.48819,-73.575839,-10.5,,
T,30/12/2017 20:34,45.488301,-73.575652,-11.7,,
T,30/12/2017 20:34,45.488479,-73.575468,-11.9,,
T,30/12/2017 20:34,45.48859,-73.575358,-11.6,,
T,30/12/2017 20:34,45.488677,-73.575363,-14.1,,
T,30/12/2017 20:34,45.488851,-73.575383,-13.9,,
