type,time,latitude,longitude,altitude (m),name,des
T,30/12/2017 20:16,45.504786,-73.556646,48.2,,
T,30/12/2017 20:16,45.504761,-73.556549,53.2,,
T,30/12/2017 20:16,45.504722,-73.556417,56.2,,
T,30/12/2017 20:16,45.504687,-73.556264,59.2,,
T,30/12/2017 20:16,45.504639,-73.556051,63.2,,
T,30/12/2017 20:16,45.504595,-73.555906,65.2,,
T,30/12/2017 20:16,45.504579,-73.555782,61.2,,
T,30/12/2017 20:17,45.504543,-73.555679,63.2,,
T,30/12/2017 20:17,45.504501,-73.555569,64.2,,
T,30/12/2017 20:17,45.504467,-73.55548,62.2,,
T,30/12/2017 20:17,45.50445,-73.555355,64.2,,
T,30/12/2017 20:17,45.504413,-73.555241,58.2,,
T,30/12/2017 20:17,45.504375,-73.555143,60.2,,
T,30/12/2017 20:17,45.50435,-73.55506,60.2,,
T,30/12/2017 20:17,45.504292,-73.554926,57.2,,
T,30/12/2017 20:17,45.504257,-73.554818,54.2,,
T,30/12/2017 20:17,45.504236,-73.554724,50.2,,
T,30/12/2017 20:17,45.504165,-73.554653,43.2,,
T,30/12/2017 20:17,45.504041,-73.554713,40.2,,
T,30/12/2017 20:18,45.50391,-73.55474,37.2,,
T,30/12/2017 20:18,45.503713,-73.554817,31.2,,
T,30/12/2017 20:18,45.503601,-73.554845,28.2,,
T,30/12/2017 20:18,45.503482,-73.554901,26.2,,
T,30/12/2017 20:18,45.503367,-73.554935,25.2,,
T,30/12/2017 20:18,45.503312,-73.55486,23.2,,
T,30/12/2017 20:18,45.503212,-73.554548,22.2,,
T,30/12/2017 20:18,45.503127,-73.554327,25.2,,
T,30/12/2017 20:18,45.503046,-73.554287,19.2,,
T,30/12/2017 20:18,45.502929,-73.554363,19.2,,
T,30/12/2017 20:18,45.50277,-73.554503,15.2,,
T,30/12/2017 20:18,45.502618,-73.554649,16.2,,
T,30/12/2017 20:19,45.502531,-73.554747,14.2,,
T,30/12/2017 20:19,45.50257,-73.554901,14.2,,
T,30/12/2017 20:19,45.502664,-73.555079,14.2,,
T,30/12/2017 20:19,45.502735,-73.555219,14.2,,
T,30/12/2017 20:19,45.50277,-73.555294,15.2,,
T,30/12/2017 20:19,45.502874,-73.555471,16.2,,
T,30/12/2017 20:19,45.502998,-73.555696,18.2,,
T,30/12/2017 20:19,45.503093,-73.555841,20.2,,
T,30/12/2017 20:19,45.503218,-73.55607,24.2,,
T,30/12/2017 20:19,45.503328,-73.556267,26.2,,
T,30/12/2017 20:19,45.503436,-73.556469,25.2,,
T,30/12/2017 20:19,45.503533,-73.556657,27.2,,
T,30/12/2017 20:19,45.503659,-73.556933,29.2,,
T,30/12/2017 20:20,45.503781,-73.557166,27.2,,
T,30/12/2017 20:20,45.503823,-73.557267,29.2,,
T,30/12/2017 20:20,45.503871,-73.557373,29.2,,
T,30/12/2017 20:20,45.503996,-73.557611,27.2,,
T,30/12/2017 20:20,45.504112,-73.557853,25.2,,
T,30/12/2017 20:20,45.504168,-73.557978,25.2,,
T,30/12/2017 20:20,45.504197,-73.558054,21.2,,
T,30/12/2017 20:20,45.504173,-73.558234,20.2,,
T,30/12/2017 20:20,45.504073,-73.558328,21.2,,
T,30/12/2017 20:20,45.504034,-73.558385,24.2,,
T,30/12/2017 20:20,45.503868,-73.558537,29.2,,
T,30/12/2017 20:21,45.503685,-73.558713,34.2,,
T,30/12/2017 20:21,45.503615,-73.558788,34.2,,
T,30/12/2017 20:23,45.503584,-73.558906,33.2,,
T,30/12/2017 20:24,45.503538,-73.558977,33.2,,
T,30/12/2017 20:24,45.503397,-73.559096,33.2,,
T,30/12/2017 20:24,45.503244,-73.559187,32.2,,
T,30/12/2017 20:24,45.503158,-73.559253,33.2,,
T,30/12/2017 20:24,45.503078,-73.559305,33.2,,
T,30/12/2017 20:24,45.503003,-73.559325,32.2,,
T,30/12/2017 20:24,45.502869,-73.559361,32.2,,
T,30/12/2017 20:24,45.502719,-73.559249,36.2,,
T,30/12/2017 20:24,45.5026,-73.558982,41.2,,
T,30/12/2017 20:24,45.502547,-73.558845,43.2,,
T,30/12/2017 20:25,45.502501,-73.558736,37.2,,
T,30/12/2017 20:25,45.502481,-73.558622,33.2,,
T,30/12/2017 20:25,45.502608,-73.558525,33.2,,
T,30/12/2017 20:25,45.502809,-73.558395,28.2,,
T,30/12/2017 20:25,45.503028,-73.558259,27.2,,
T,30/12/2017 20:25,45.503266,-73.558013,27.2,,
T,30/12/2017 20:25,45.50351,-73.557783,26.2,,
T,30/12/2017 20:25,45.503574,-73.557706,29.2,,
T,30/12/2017 20:26,45.503628,-73.557635,27.2,,
T,30/12/2017 20:26,45.50375,-73.557527,28.2,,
T,30/12/2017 20:26,45.50385,-73.557535,24.2,,
T,30/12/2017 20:26,45.50403,-73.557834,25.2,,
T,30/12/2017 20:26,45.504115,-73.558004,24.2,,
T,30/12/2017 20:26,45.504169,-73.5581,23.2,,
T,30/12/2017 20:27,45.504283,-73.55831,22.2,,
T,30/12/2017 20:27,45.504441,-73.558614,18.2,,
T,30/12/2017 20:27,45.504554,-73.558825,17.2,,
T,30/12/2017 20:27,45.504607,-73.558916,14.2,,
T,30/12/2017 20:28,45.504591,-73.559038,13.3,,
T,30/12/2017 20:28,45.504714,-73.559066,15.3,,
T,30/12/2017 20:28,45.504863,-73.558934,17.3,,
T,30/12/2017 20:28,45.50509,-73.558744,22.3,,
T,30/12/2017 20:28,45.505225,-73.558634,24.3,,
T,30/12/2017 20:28,45.505302,-73.558561,26.3,,
T,30/12/2017 20:28,45.505361,-73.558478,26.3,,
T,30/12/2017 20:28,45.505604,-73.558309,26.3,,
T,30/12/2017 20:28,45.505891,-73.558054,27.3,,
T,30/12/2017 20:28,45.506162,-73.557817,30.3,,
T,30/12/2017 20:28,45.506374,-73.557628,34.3,,
T,30/12/2017 20:29,45.506501,-73.557544,37.3,,
T,30/12/2017 20:29,45.506531,-73.557516,43.3,,
T,30/12/2017 20:29,45.506585,-73.557424,38.2,,
T,30/12/2017 20:29,45.506638,-73.557373,40.2,,
T,30/12/2017 20:29,45.506904,-73.557169,35.2,,
T,30/12/2017 20:29,45.507192,-73.556907,32.2,,
T,30/12/2017 20:29,45.507534,-73.556619,30.2,,
T,30/12/2017 20:29,45.507916,-73.556382,32.3,,
T,30/12/2017 20:29,45.508346,-73.556141,32.3,,
T,30/12/2017 20:30,45.508747,-73.556152,28.3,,
T,30/12/2017 20:30,45.509022,-73.556582,27.3,,
T,30/12/2017 20:30,45.509146,-73.556945,26.3,,
T,30/12/2017 20:30,45.508938,-73.557265,26.3,,
T,30/12/2017 20:30,45.508462,-73.557592,22.3,,
T,30/12/2017 20:30,45.508088,-73.557892,18.3,,
T,30/12/2017 20:30,45.507722,-73.558199,16.3,,
T,30/12/2017 20:30,45.507337,-73.5585,16.3,,
T,30/12/2017 20:30,45.506886,-73.558845,17.3,,
T,30/12/2017 20:30,45.506298,-73.559346,18.3,,
T,30/12/2017 20:30,45.505804,-73.559747,22.3,,
T,30/12/2017 20:30,45.505181,-73.560274,30.3,,
T,30/12/2017 20:30,45.504769,-73.56062,37.3,,
T,30/12/2017 20:30,45.50468,-73.560695,39.3,,
T,30/12/2017 20:32,45.492794,-73.574638,3.3,,
T,30/12/2017 20:32,45.491674,-73.574663,18.3,,
T,30/12/2017 20:32,45.49125,-73.574682,20.3,,
T,30/12/2017 20:33,45.490912,-73.575129,23.3,,
T,30/12/2017 20:33,45.490509,-73.575417,21.3,,
T,30/12/2017 20:33,45.490113,-73.575601,15.3,,
T,30/12/2017 20:33,45.489771,-73.575911,19.3,,
T,30/12/2017 20:33,45.489501,-73.576202,22.3,,
T,30/12/2017 20:33,45.489222,-73.57649,24.3,,
T,30/12/2017 20:33,45.489123,-73.576588,22.3,,
T,30/12/2017 20:33,45.489054,-73.576647,24.3,,
T,30/12/2017 20:33,45.488896,-73.576772,24.3,,
T,30/12/2017 20:33,45.488755,-73.576709,24.3,,
T,30/12/2017 20:33,45.488587,-73.576514,23.3,,
T,30/12/2017 20:33,45.488332,-73.576181,21.3,,
T,30/12/2017 20:33,45.488198,-73.575958,20.3,,
T,30/12/2017 20:34,45.488205,-73.575776,17.3,,
T,30/12/2017 20:34,45.488335,-73.57564,21.3,,
T,30/12/2017 20:34,45.488512,-73.575443,22.3,,
T,30/12/2017 20:34,45.488611,-73.575352,22.3,,
T,30/12/2017 20:34,45.488672,-73.575338,20.3,,
T,30/12/2017 20:34,45.488809,-73.575377,19.3,,
T,30/12/2017 20:34,45.488957,-73.575265,18.3,,
T,30/12/2017 20:34,45.489135,-73.575099,18.3,,
T,30/12/2017 20:34,45.489277,-73.574974,17.3,,
T,30/12/2017 20:34,45.489413,-73.574839,16.3,,
T,30/12/2017 20:34,45.489557,-73.574698,16.3,,
T,30/12/2017 20:34,45.489711,-73.574525,16.3,,
T,30/12/2017 20:34,45.489781,-73.574445,17.3,,
T,30/12/2017 20:38,45.489855,-73.574409,23.3,,
T,30/12/2017 20:38,45.489975,-73.574311,24.3,,
T,30/12/2017 20:38,45.490061,-73.574249,25.3,,
T,30/12/2017 20:38,45.490103,-73.574136,21.3,,
T,30/12/2017 20:38,45.489999,-73.573884,22.3,,
T,30/12/2017 20:39,45.489821,-73.573475,20.3,,
T,30/12/2017 20:39,45.489596,-73.572982,17.3,,
T,30/12/2017 20:39,45.489421,-73.57264,16.3,,
T,30/12/2017 20:39,45.489311,-73.572398,16.3,,
