typ,time,latitude,longitude,altitude (m),name,desc
T,31/12/2017 22:17,45.526527,-73.555048,28.3,,
T,31/12/2017 22:17,45.526978,-73.555235,26.3,,
T,31/12/2017 22:17,45.527253,-73.555628,26.3,,
T,31/12/2017 22:17,45.527518,-73.556198,25.3,,
T,31/12/2017 22:17,45.527784,-73.556758,26.3,,
T,31/12/2017 22:17,45.527967,-73.557133,25.3,,
T,31/12/2017 22:18,45.528017,-73.557224,27.3,,
T,31/12/2017 22:18,45.528129,-73.557438,27.3,,
T,31/12/2017 22:18,45.528376,-73.557969,29.3,,
T,31/12/2017 22:18,45.52862,-73.558481,29.3,,
T,31/12/2017 22:19,45.528877,-73.559018,30.3,,
T,31/12/2017 22:19,45.529035,-73.559193,29.3,,
T,31/12/2017 22:19,45.529256,-73.559035,30.3,,
T,31/12/2017 22:19,45.529483,-73.558806,30.3,,
T,31/12/2017 22:19,45.529551,-73.558719,28.3,,
T,31/12/2017 22:20,45.529608,-73.558687,30.3,,
T,31/12/2017 22:20,45.529932,-73.558402,29.3,,
T,31/12/2017 22:20,45.530232,-73.558124,28.3,,
T,31/12/2017 22:20,45.530286,-73.558066,30.3,,
T,31/12/2017 22:20,45.530217,-73.557762,30.3,,
T,31/12/2017 22:20,45.529978,-73.557245,30.3,,
T,31/12/2017 22:20,45.529751,-73.556709,29.3,,
T,31/12/2017 22:20,45.529533,-73.556317,28.3,,
T,31/12/2017 22:20,45.529323,-73.555902,28.3,,
T,31/12/2017 22:20,45.529117,-73.555397,31.3,,
T,31/12/2017 22:21,45.528893,-73.554924,34.3,,
T,31/12/2017 22:21,45.528599,-73.554319,36.3,,
T,31/12/2017 22:21,45.528356,-73.553724,35.3,,
T,31/12/2017 22:21,45.5282,-73.552766,38.3,,
T,31/12/2017 22:21,45.52801,-73.552428,42.3,,
T,31/12/2017 22:21,45.527785,-73.55219,50.3,,
T,31/12/2017 22:21,45.527624,-73.551997,44.3,,
T,31/12/2017 22:21,45.527373,-73.551486,43.3,,
T,31/12/2017 22:21,45.527157,-73.551047,43.3,,
T,31/12/2017 22:21,45.52696,-73.550739,35.3,,
T,31/12/2017 22:22,45.526924,-73.550648,35.3,,
T,31/12/2017 22:22,45.526696,-73.550673,33.3,,
T,31/12/2017 22:22,45.52627,-73.551052,30.3,,
T,31/12/2017 22:22,45.525945,-73.551332,29.3,,
T,31/12/2017 22:22,45.525719,-73.551483,28.3,,
T,31/12/2017 22:22,45.525638,-73.551533,25.3,,
T,31/12/2017 22:22,45.525565,-73.551603,25.3,,
T,31/12/2017 22:22,45.525491,-73.55168,28.3,,
T,31/12/2017 22:22,45.525423,-73.551644,32.3,,
T,31/12/2017 22:22,45.525232,-73.551276,31.3,,
T,31/12/2017 22:23,45.525075,-73.550893,32.3,,
T,31/12/2017 22:23,45.524999,-73.550672,36.3,,
T,31/12/2017 22:23,45.524931,-73.550633,28.3,,
T,31/12/2017 22:23,45.524852,-73.550402,29.3,,
T,31/12/2017 22:23,45.524489,-73.549687,33.3,,
T,31/12/2017 22:23,45.524103,-73.549064,34.3,,
