type,time,latitude,longitude,altitude (m),name,desc
T,30/12/2017 20:13,45.502421,-73.556768,31,,
T,30/12/2017 20:13,45.502711,-73.556514,31,,
T,30/12/2017 20:13,45.502932,-73.556264,33,,
T,30/12/2017 20:13,45.50315,-73.556014,31,,
T,30/12/2017 20:13,45.503361,-73.556388,30,,
T,30/12/2017 20:14,45.503559,-73.556759,32,,
T,30/12/2017 20:14,45.503809,-73.557241,35,,
T,30/12/2017 20:14,45.503931,-73.557487,38,,
T,30/12/2017 20:15,45.504262,-73.557166,42,,
T,30/12/2017 20:15,45.504527,-73.556975,47,,
T,30/12/2017 20:15,45.504708,-73.556846,46,,
