0.675,0.7,0.769,0.658,0.683,0.693,0.851,0.807,0.66,0.749
3.895,3.261,2.792,1.913,3.75,2.38,4.302,3.257,3.22,1.496
1.619,1.581,1.62,1.598,1.561,1.528,1.541,1.332,1.28,1.551
0.76,0.598,0.582,0.766,4.936,0.832,0.67,0.659,0.615,0.623
1.016,0.938,1.072,1.022,1.187,1.331,1.296,1.227,1.577,1.142
2.6,3.093,2.92,2.308,3.036,3.813,3.761,3.498,3.534,3.849
2.378,2.028,1.8,2.278,2.575,2.742,2.706,2.407,2.944,2.691
61.923,32.23,33.244,30.341,28.902,30.455,51.59,52.578,39.801,48.666
3.901,3.138,4.354,4.099,3.971,4.289,4.73,3.678,4.631,3.167
15.239,15.953,15.98,15.857,15.342,17.443,18.936,18.326,19.873,20.568
27.748,30.484,35.632,57.816,40.492,35.696,37.866,38.603,57.705,40.035
33.867,36.471,34.419,38.117,36.052,37.623,40.542,41.452,41.898,48.905
