0.388,1.273,0.401,0.308,0.388,0.584,0.609,0.623,0.54,0.569
0.549,0.886,0.54,0.87,0.835,0.712,1.533,0.8,1.072,0.705
0.682,0.526,0.677,0.466,0.542,0.9,0.996,0.862,0.965,1.046
0.331,0.423,0.399,0.367,1.742,0.409,0.731,0.492,0.439,0.599
0.409,0.438,0.393,0.4,0.402,0.632,0.618,0.521,0.683,0.678
0.316,0.492,0.591,0.548,0.449,1.476,1.446,1.326,1.367,1.365
0.192,0.154,0.117,0.13,0.183,0.288,0.257,0.345,0.388,0.276
1.296,1.75,1.98,1.825,1.683,3.269,3.976,3.712,4.333,3.28
0.231,0.365,0.3,0.349,0.282,0.807,0.775,0.846,0.65,1.084
1.124,1.27,1.305,1.015,1.177,2.803,3.053,2.594,2.475,4.626
1.106,1.53,1.866,2.051,1.577,2.996,3.795,4.977,5.25,5.426
1.5,1.572,1.669,2.948,1.884,4.071,5.07,5.337,4.793,6.78
