1.516,1.436,1.526,1.465,1.576,1.548,1.583,1.486,1.632,1.455
1.491,1.396,1.590,2.069,1.870,1.680,1.888,1.842,1.647,1.175
1.429,1.532,1.777,1.585,1.628,1.742,1.587,1.636,1.720,1.458
1.686,1.728,1.562,1.647,1.706,1.717,1.589,1.726,1.118,1.628
1.709,1.561,1.680,1.672,1.628,1.557,1.752,1.753,2.999,1.698
1.524,1.332,1.294,1.387,1.430,1.283,1.362,1.242,1.332,1.323
.984,.927,1.046,.916,.928,.865,.890,.992,.914,1.004
1.624,1.532,1.625,1.600,1.624,1.614,1.507,1.545,1.603,1.500
1.616,1.659,1.592,1.299,1.623,1.523,1.601,1.586,1.647,1.572
1.528,1.447,1.547,1.454,1.386,1.230,1.324,1.316,1.341,1.460
1.636,1.510,1.480,1.441,1.500,1.456,1.687,1.619,1.392,1.629
1.501,5.691,1.399,1.644,1.547,1.391,1.551,1.587,1.513,1.618
