0.157,0.218,0.307,0.332,0.22,0.206,,0.202,0.218,0.205
0.679,0.449,0.236,0.232,0.699,0.28,,0.344,1.555,0.668
0.154,0.117,0.2,0.15,0.182,,,0.199,0.151,0.159
0.346,0.336,0.226,0.188,0.355,0.267,0.252,0.24,0.263,0.29
0.347,0.449,0.34,0.409,0.5,0.35,0.493,0.42,0.329,0.534
0.162,0.278,0.268,0.192,0.19,0.176,0.163,0.202,0.533,0.192
0.243,0.286,0.228,0.179,0.156,0.375,0.228,0.279,0.188,0.449
0.303,0.332,0.373,0.898,0.352,0.404,0.443,0.356,0.474,0.333
1.246,1.013,1.059,1.267,1.415,0.998,1.165,0.966,0.873,1.796
1.472,1.868,1.619,1.995,2.011,1.835,1.914,1.63,1.773,1.741
1.31,1.285,1.46,1.925,1.374,1.273,1.889,1.524,1.625,1.204
1.783,1.728,2.751,3.517,3.076,1.759,2.188,2.025,2.753,1.711
