Typ,Time,Latitude,Longitude,Altitude
T,01/01/2018 2:42,45.584618,-73.587269,52.6
T,01/01/2018 2:42,45.584138,-73.587706,52.6
T,01/01/2018 2:42,45.583568,-73.588213,53.6
T,01/01/2018 2:42,45.583106,-73.58862,55.6
T,01/01/2018 2:42,45.582528,-73.589145,57.6
T,01/01/2018 2:42,45.581943,-73.589687,56.6
T,01/01/2018 2:42,45.581306,-73.590288,54.6
T,01/01/2018 2:42,45.580774,-73.590789,55.6
T,01/01/2018 2:42,45.580124,-73.591351,53.6
T,01/01/2018 2:42,45.579635,-73.591759,51.6
T,01/01/2018 2:43,45.579055,-73.592225,50.6
T,01/01/2018 2:43,45.578587,-73.59262,51.6
T,01/01/2018 2:43,45.578101,-73.593008,51.6
T,01/01/2018 2:43,45.577566,-73.593465,52.6
T,01/01/2018 2:43,45.577002,-73.59397,52.6
T,01/01/2018 2:43,45.57632,-73.59459,52.6
T,01/01/2018 2:43,45.575778,-73.595081,52.6
T,01/01/2018 2:43,45.575071,-73.595706,52.6
T,01/01/2018 2:43,45.574376,-73.596327,50.6
T,01/01/2018 2:43,45.573807,-73.596821,51.6
T,01/01/2018 2:43,45.573253,-73.597346,53.6
T,01/01/2018 2:43,45.572669,-73.59786,55.6
T,01/01/2018 2:43,45.57211,-73.598349,56.6
T,01/01/2018 2:43,45.57158,-73.598868,57.6
T,01/01/2018 2:44,45.571033,-73.599344,59.6
T,01/01/2018 2:44,45.570454,-73.599858,60.6
T,01/01/2018 2:44,45.569861,-73.600411,63.6
T,01/01/2018 2:44,45.569114,-73.601072,62.6
T,01/01/2018 2:44,45.568412,-73.601715,63.6
T,01/01/2018 2:44,45.567857,-73.602218,61.6
T,01/01/2018 2:44,45.567327,-73.602719,64.6
T,01/01/2018 2:44,45.566638,-73.603358,66.6
T,01/01/2018 2:44,45.565942,-73.603974,67.6
T,01/01/2018 2:44,45.565456,-73.604395,66.6
T,01/01/2018 2:44,45.564907,-73.604887,65.6
T,01/01/2018 2:44,45.564523,-73.605226,64.6
T,01/01/2018 2:44,45.564134,-73.605573,62.6
T,01/01/2018 2:44,45.563626,-73.606001,58.6
T,01/01/2018 2:45,45.563236,-73.606432,58.6
T,01/01/2018 2:45,45.562983,-73.606809,56.6
T,01/01/2018 2:45,45.562716,-73.607124,56.6
T,01/01/2018 2:45,45.562482,-73.607321,56.6
T,01/01/2018 2:45,45.562327,-73.607182,55.6
T,01/01/2018 2:45,45.562205,-73.606861,53.6
T,01/01/2018 2:45,45.562178,-73.606554,52.6
T,01/01/2018 2:45,45.562321,-73.606406,51.6
T,01/01/2018 2:45,45.562434,-73.606292,50.6
T,01/01/2018 2:45,45.562504,-73.606235,51.6
T,01/01/2018 2:45,45.56269,-73.606082,51.6
T,01/01/2018 2:45,45.562687,-73.605803,51.6
T,01/01/2018 2:45,45.562567,-73.605516,51.6
T,01/01/2018 2:46,45.562419,-73.605172,52.6
T,01/01/2018 2:46,45.562262,-73.604811,53.6
T,01/01/2018 2:46,45.562081,-73.604543,51.6
T,01/01/2018 2:46,45.562004,-73.604489,52.6
T,01/01/2018 2:46,45.561923,-73.604521,51.6
T,01/01/2018 2:46,45.561855,-73.604632,52.6
T,01/01/2018 2:46,45.561877,-73.604703,53.6
T,01/01/2018 2:46,45.561858,-73.604894,52.6
T,01/01/2018 2:46,45.561892,-73.605067,51.6
T,01/01/2018 2:46,45.561947,-73.605166,51.6
T,01/01/2018 2:47,45.562046,-73.605393,52.6
T,01/01/2018 2:47,45.562288,-73.605769,51.6
T,01/01/2018 2:47,45.562445,-73.605908,51.6
T,01/01/2018 2:48,45.562475,-73.605962,46.6
T,01/01/2018 2:48,45.562649,-73.60605,47.6
T,01/01/2018 2:48,45.562945,-73.605893,47.6
T,01/01/2018 2:48,45.563226,-73.605693,47.6
T,01/01/2018 2:48,45.563554,-73.60543,47.6
T,01/01/2018 2:48,45.563927,-73.605129,49.6
T,01/01/2018 2:48,45.564241,-73.604864,50.6
T,01/01/2018 2:48,45.564399,-73.604812,50.6
T,01/01/2018 2:48,45.564667,-73.605021,48.6
T,01/01/2018 2:48,45.564751,-73.605178,48.6
T,01/01/2018 2:48,45.564668,-73.605308,52.6
T,01/01/2018 2:48,45.56437,-73.605549,49.6
T,01/01/2018 2:48,45.56398,-73.605966,51.6
T,01/01/2018 2:49,45.56354,-73.606352,51.6
T,01/01/2018 2:49,45.563099,-73.606822,52.6
T,01/01/2018 2:49,45.562766,-73.607201,51.6
T,01/01/2018 2:49,45.562326,-73.607498,50.6
T,01/01/2018 2:49,45.561959,-73.6077,50.6
T,01/01/2018 2:49,45.561607,-73.607866,49.6
T,01/01/2018 2:49,45.561401,-73.608002,49.6
T,01/01/2018 2:49,45.561313,-73.608132,51.6
T,01/01/2018 2:49,45.561248,-73.608286,52.6
T,01/01/2018 2:49,45.560939,-73.608419,56.6
T,01/01/2018 2:49,45.560739,-73.608648,56.6
T,01/01/2018 2:49,45.56053,-73.608901,56.6
T,01/01/2018 2:49,45.560344,-73.609139,57.6
T,01/01/2018 2:50,45.560192,-73.609361,57.6
T,01/01/2018 2:50,45.559925,-73.609733,58.6
T,01/01/2018 2:50,45.559696,-73.610058,53.6
T,01/01/2018 2:50,45.559441,-73.610432,53.6
T,01/01/2018 2:50,45.559046,-73.611085,52.6
T,01/01/2018 2:50,45.558736,-73.611758,52.6
T,01/01/2018 2:50,45.558294,-73.612788,53.6
T,01/01/2018 2:50,45.55791,-73.613655,53.6
T,01/01/2018 2:50,45.55741,-73.61482,53.6
T,01/01/2018 2:50,45.55692,-73.615988,53.6
T,01/01/2018 2:50,45.556499,-73.617014,54.6
T,01/01/2018 2:50,45.556102,-73.618029,53.6
T,01/01/2018 2:50,45.555602,-73.619239,53.6
T,01/01/2018 2:50,45.555197,-73.620236,53.6
T,01/01/2018 2:51,45.554663,-73.62151,52.6
T,01/01/2018 2:51,45.554232,-73.622487,52.6
T,01/01/2018 2:51,45.55366,-73.623613,52.6
T,01/01/2018 2:51,45.553029,-73.624779,51.6
T,01/01/2018 2:51,45.552393,-73.625972,50.6
T,01/01/2018 2:51,45.551871,-73.626935,49.6
T,01/01/2018 2:51,45.551217,-73.628184,48.6
T,01/01/2018 2:51,45.550678,-73.629479,46.6
T,01/01/2018 2:51,45.550385,-73.63055,46.6
T,01/01/2018 2:51,45.550175,-73.631686,44.6
T,01/01/2018 2:51,45.549901,-73.633087,45.6
T,01/01/2018 2:51,45.549571,-73.634161,44.6
T,01/01/2018 2:51,45.549133,-73.635125,43.6
T,01/01/2018 2:52,45.548406,-73.636204,44.6
T,01/01/2018 2:52,45.547684,-73.636927,44.6
T,01/01/2018 2:52,45.546776,-73.637706,44.6
T,01/01/2018 2:52,45.546102,-73.6383,42.6
T,01/01/2018 2:52,45.545217,-73.639054,44.6
T,01/01/2018 2:52,45.544417,-73.639784,44.6
T,01/01/2018 2:52,45.54378,-73.640327,44.6
T,01/01/2018 2:52,45.543065,-73.640822,46.6
T,01/01/2018 2:52,45.542193,-73.641384,47.6
T,01/01/2018 2:52,45.541312,-73.641942,46.6
T,01/01/2018 2:52,45.540611,-73.642376,44.6
T,01/01/2018 2:52,45.539674,-73.642963,41.6
T,01/01/2018 2:52,45.538755,-73.643558,41.6
T,01/01/2018 2:53,45.537843,-73.644148,42.6
T,01/01/2018 2:53,45.537077,-73.644639,43.6
T,01/01/2018 2:53,45.536318,-73.645124,42.6
