type,time,latitude,longitude,altitude (m),name,desc
T,31/12/2017 21:25,45.506068,-73.572373,17.6,,
T,31/12/2017 21:25,45.506089,-73.572531,17.1,,
T,31/12/2017 21:25,45.506013,-73.572661,16.9,,
T,31/12/2017 21:25,45.505748,-73.572791,19.3,,
T,31/12/2017 21:25,45.505569,-73.572844,17.3,,
T,31/12/2017 21:25,45.505445,-73.572577,15,,
T,31/12/2017 21:25,45.505331,-73.572285,9.3,,
T,31/12/2017 21:25,45.505197,-73.572084,9.3,,
T,31/12/2017 21:25,45.505124,-73.572101,15.2,,
T,31/12/2017 21:25,45.505008,-73.571764,19.5,,
T,31/12/2017 21:25,45.504821,-73.571389,15.9,,
T,31/12/2017 21:25,45.504738,-73.571285,13.8,,
T,31/12/2017 21:26,45.504703,-73.571168,17,,
T,31/12/2017 21:27,45.504661,-73.571067,18.8,,
T,31/12/2017 21:27,45.504553,-73.571046,23.7,,
T,31/12/2017 21:27,45.504364,-73.571208,26.6,,
T,31/12/2017 21:27,45.50426,-73.571302,22.9,,
T,31/12/2017 21:27,45.504189,-73.571246,21.9,,
T,31/12/2017 21:27,45.504175,-73.571131,20.2,,
T,31/12/2017 21:27,45.504113,-73.571065,21.4,,
T,31/12/2017 21:27,45.503841,-73.571417,25,,
T,31/12/2017 21:27,45.50355,-73.57166,24.5,,
T,31/12/2017 21:27,45.503305,-73.571902,21.5,,
T,31/12/2017 21:28,45.503069,-73.57209,21.7,,
T,31/12/2017 21:28,45.503028,-73.5722,26.6,,
T,31/12/2017 21:28,45.503002,-73.572271,29.6,,
T,31/12/2017 21:28,45.502888,-73.572398,26.5,,
T,31/12/2017 21:28,45.502837,-73.572322,12.8,,
T,31/12/2017 21:28,45.502726,-73.572162,9.8,,
T,31/12/2017 21:28,45.502554,-73.571861,6.5,,
T,31/12/2017 21:28,45.502447,-73.571615,3.3,,
T,31/12/2017 21:28,45.502393,-73.571445,3.1,,
T,31/12/2017 21:29,45.502277,-73.571326,14,,
T,31/12/2017 21:29,45.502254,-73.571205,17.7,,
T,31/12/2017 21:29,45.502236,-73.571135,23.6,,
T,31/12/2017 21:29,45.501902,-73.570837,21.7,,
T,31/12/2017 21:29,45.501746,-73.570507,16.8,,
T,31/12/2017 21:29,45.501695,-73.570413,15.6,,
T,31/12/2017 21:29,45.501653,-73.570326,14.9,,
T,31/12/2017 21:29,45.501634,-73.570144,13.8,,
T,31/12/2017 21:29,45.501983,-73.569809,13.5,,
T,31/12/2017 21:29,45.502253,-73.569542,12.4,,
T,31/12/2017 21:30,45.502452,-73.569273,15.1,,
T,31/12/2017 21:30,45.502557,-73.569099,19.1,,
T,31/12/2017 21:30,45.502643,-73.569079,30,,
T,31/12/2017 21:30,45.502739,-73.568924,29.3,,
T,31/12/2017 21:30,45.503039,-73.568713,16.5,,
T,31/12/2017 21:30,45.503171,-73.568483,15.3,,
T,31/12/2017 21:31,45.50332,-73.568389,14.3,,
T,31/12/2017 21:31,45.503447,-73.568335,9.4,,
T,31/12/2017 21:31,45.503673,-73.568138,4.5,,
T,31/12/2017 21:31,45.503741,-73.567992,7,,
T,31/12/2017 21:31,45.503609,-73.567676,7.5,,
T,31/12/2017 21:31,45.503519,-73.567301,6.2,,
T,31/12/2017 21:31,45.503379,-73.566983,6.6,,
T,31/12/2017 21:31,45.503388,-73.566858,7.3,,
T,31/12/2017 21:31,45.503325,-73.566774,11.1,,
T,31/12/2017 21:31,45.503166,-73.566523,14,,
T,31/12/2017 21:31,45.503017,-73.566174,15.6,,
T,31/12/2017 21:32,45.502801,-73.565723,16.4,,
T,31/12/2017 21:32,45.502642,-73.565505,17.7,,
T,31/12/2017 21:32,45.502555,-73.565369,24,,
T,31/12/2017 21:32,45.502517,-73.565266,25.8,,
T,31/12/2017 21:32,45.502432,-73.565114,30.1,,
T,31/12/2017 21:32,45.502274,-73.564748,30.7,,
T,31/12/2017 21:32,45.502144,-73.564451,32.9,,
T,31/12/2017 21:32,45.501949,-73.564183,27.6,,
T,31/12/2017 21:33,45.501678,-73.564486,20.7,,
T,31/12/2017 21:33,45.501287,-73.564755,17.1,,
T,31/12/2017 21:33,45.501044,-73.564868,11.3,,
T,31/12/2017 21:33,45.50105,-73.564988,6.8,,
T,31/12/2017 21:34,45.501033,-73.565102,1,,
T,31/12/2017 21:34,45.501048,-73.565323,3.4,,
T,31/12/2017 21:34,45.501154,-73.565552,4.2,,
T,31/12/2017 21:34,45.501248,-73.565743,5.9,,
T,31/12/2017 21:34,45.50129,-73.565846,6.3,,
T,31/12/2017 21:34,45.501482,-73.566154,4.1,,
T,31/12/2017 21:34,45.501652,-73.566588,10.3,,
T,31/12/2017 21:35,45.501853,-73.566976,11.8,,
T,31/12/2017 21:35,45.501894,-73.567101,14.1,,
T,31/12/2017 21:35,45.501943,-73.567209,20,,
T,31/12/2017 21:35,45.502148,-73.567081,22.1,,
T,31/12/2017 21:35,45.502329,-73.566993,26,,
T,31/12/2017 21:35,45.502396,-73.566978,50.9,,
T,31/12/2017 21:36,45.502729,-73.566535,38.8,,
T,31/12/2017 21:36,45.503077,-73.566324,26.5,,
T,31/12/2017 21:36,45.503433,-73.566037,23.4,,
T,31/12/2017 21:36,45.503898,-73.565695,18.2,,
T,31/12/2017 21:36,45.504342,-73.565355,17.1,,
T,31/12/2017 21:36,45.504752,-73.565053,12.9,,
T,31/12/2017 21:36,45.50496,-73.564902,10.6,,
T,31/12/2017 21:36,45.505049,-73.564916,7.7,,
T,31/12/2017 21:37,45.505081,-73.564839,-0.5,,
T,31/12/2017 21:37,45.505322,-73.56464,-3.1,,
T,31/12/2017 21:37,45.505604,-73.564379,-2,,
T,31/12/2017 21:37,45.505867,-73.564131,-3.1,,
T,31/12/2017 21:37,45.50597,-73.564007,-0.2,,
T,31/12/2017 21:37,45.506019,-73.5639,1.4,,
T,31/12/2017 21:38,45.50609,-73.563893,0.5,,
T,31/12/2017 21:38,45.506347,-73.564422,-1.6,,
T,31/12/2017 21:38,45.506586,-73.564968,-1.9,,
T,31/12/2017 21:38,45.506747,-73.565338,-3.2,,
T,31/12/2017 21:38,45.506935,-73.565778,-1.9,,
T,31/12/2017 21:38,45.507073,-73.565998,-3.9,,
T,31/12/2017 21:38,45.507118,-73.566098,1,,
T,31/12/2017 21:38,45.507185,-73.566153,2.1,,
T,31/12/2017 21:38,45.507419,-73.565979,1.1,,
T,31/12/2017 21:38,45.507628,-73.565813,0.3,,
T,31/12/2017 21:38,45.507753,-73.565689,-0.5,,
T,31/12/2017 21:39,45.507885,-73.56558,-1.6,,
T,31/12/2017 21:39,45.508033,-73.565432,-2.6,,
T,31/12/2017 21:39,45.508228,-73.565245,-3.9,,
T,31/12/2017 21:39,45.508359,-73.565113,-4.5,,
T,31/12/2017 21:39,45.508416,-73.565059,-3.3,,
T,31/12/2017 21:39,45.50855,-73.564943,-5.6,,
T,31/12/2017 21:39,45.508663,-73.56486,-6.6,,
T,31/12/2017 21:40,45.508689,-73.564794,-3.3,,
T,31/12/2017 21:40,45.508515,-73.564364,-2.9,,
T,31/12/2017 21:40,45.508353,-73.564008,-2.6,,
T,31/12/2017 21:40,45.508176,-73.563569,-3.3,,
T,31/12/2017 21:40,45.508003,-73.563335,-6.3,,
T,31/12/2017 21:40,45.507848,-73.562839,-5.2,,
T,31/12/2017 21:40,45.507841,-73.562497,-2.2,,
T,31/12/2017 21:40,45.507963,-73.562346,-0.9,,
T,31/12/2017 21:40,45.508294,-73.562212,-5,,
T,31/12/2017 21:40,45.508549,-73.562037,-6.1,,
T,31/12/2017 21:40,45.508577,-73.561929,-3.9,,
T,31/12/2017 21:40,45.508626,-73.561857,-1.7,,
T,31/12/2017 21:40,45.508876,-73.561555,1.8,,
T,31/12/2017 21:40,45.509095,-73.561365,0.1,,
T,31/12/2017 21:41,45.509471,-73.560995,-4.5,,
T,31/12/2017 21:41,45.50976,-73.560734,-6.9,,
T,31/12/2017 21:41,45.510186,-73.560372,-7.2,,
T,31/12/2017 21:41,45.510476,-73.560168,-6,,
T,31/12/2017 21:41,45.510772,-73.559874,-4.7,,
T,31/12/2017 21:41,45.51099,-73.559674,-4.9,,
T,31/12/2017 21:41,45.51111,-73.559546,-8.6,,
T,31/12/2017 21:41,45.511101,-73.559403,-3,,
T,31/12/2017 21:41,45.511038,-73.559243,-2.5,,
T,31/12/2017 21:41,45.510964,-73.558991,-1.3,,
T,31/12/2017 21:41,45.510878,-73.558786,-4.4,,
T,31/12/2017 21:41,45.510767,-73.558527,-6.4,,
T,31/12/2017 21:41,45.510703,-73.558367,-6.7,,
T,31/12/2017 21:42,45.510669,-73.558217,-7.3,,
