 94.6692601118, 86.2711416681, 96.0254078158, 92.8678516997, 92.9903332824, 98.1609935954, 96.5209522376, 92.8678516997, 94.1362527478, 98.7888512589
 75.5634525916, 80.1559563896, 75.039865308, 74.6161344777, 79.0367116986, 77.4439764013, 79.7137120349, 77.3789437697, 80.1559563896, 66.1182984264
 89.5552871435, 88.4035422544, 89.6432735199, 85.384584018, 95.7502880196, 93.1394403515, 93.1394403515, 87.0407589472, 93.6491257972, 91.7072368045
 94.9570462182, 96.3677403018, 96.3677403018, 92.5964400261, 77.8574127619, 97.2912213219, 88.9892246, 98.3844894542, 96.3677403018, 87.0281683615
 83.7987039579, 83.6888192594, 82.8132445795, 85.6806877748, 92.5366739229, 89.2261636423, 89.2261636423, 90.0753649793, 90.3982163261, 95.6506575314
 90.5555471467, 63.9343057628, 88.9208121305, 65.1822207961, 89.49946419, 94.1021626138, 94.1021626138, 67.3001988854, 65.4479310773, 66.7582891618
 67.3566852407, 85.1351604484, 63.4326370651, 66.9596553614, 78.3529909811, 87.9263579818, 87.9263579818, 87.5044317832, 89.5070528786, 67.3666812321
 95.1201157853, 91.2956415104, 91.0560943191, 88.8347993805, 93.8985610023, 92.8817503987, 97.2261823085, 93.1102642516, 96.4666456775, 98.6263869631
 77.3972401627, 76.6815651629, 77.0959082633, 75.1454492535, 75.5773910734, 97.2840499067, 97.2840499067, 82.0501763221, 97.9779628471, 95.270276827
 77.5449213687, 71.533089909, 74.2712947689, 73.9084500053, 73.647438775, 83.5236580439, 82.8341074672, 82.9188590229, 87.5625285267, 84.464270626
 85.2973777389, 86.6860218604, 86.6267007688, 89.4042337299, 80.4923586766, 95.8374972358, 96.1724454132, 95.4386457086, 91.8229354435, 92.8571816168
 95.4799087578, 95.4161237392, 91.2133308452, 90.0667185925, 92.5922671963, 96.2070956822, 97.0982450683, 98.287318878, 97.6086242919, 97.4163647787
