type,time,latitude,longitude,altitude (m),name,des
T,30/12/2017 20:13,45.502804,-73.556411,24,,
T,30/12/2017 20:13,45.503023,-73.55616,19,,
T,30/12/2017 20:13,45.503246,-73.55618,19,,
T,30/12/2017 20:14,45.503432,-73.556516,15,,
T,30/12/2017 20:14,45.50364,-73.556915,15,,
T,30/12/2017 20:14,45.503811,-73.557245,17,,
T,30/12/2017 20:15,45.503944,-73.557516,26,,
T,30/12/2017 20:15,45.50436,-73.557095,33,,
T,30/12/2017 20:15,45.504572,-73.556943,34,,
T,30/12/2017 20:15,45.50475,-73.556816,33,,
