GPSHeading,GPSAltitude,GPSLatitude,VerticalAccuracy,TimeStamp,GPSLongitude,GPSSpeed,HorizontalAccuracy
206,-12,45.51972961,9,1514759121,-73.54852295,13.75976563,9
206,-12,45.5196228,9,1514759122,-73.5486145,14.38964844,9
206,-13,45.51950455,9,1514759123,-73.54871368,15.01953125,9
206,-13,45.51938248,9,1514759124,-73.54879761,15.65039063,9
207,-11,45.51927185,9,1514759125,-73.54888153,15.25976563,9
209,-11,45.51915359,10,1514759126,-73.54897308,15.08984375,10
206,-11,45.51902008,9,1514759127,-73.54904938,16.03027344,9
206,-11,45.51888275,9,1514759128,-73.54914856,16.40039063,9
206,-12,45.51875305,9,1514759129,-73.54924774,15.88964844,9
207,-12,45.51862335,9,1514759130,-73.54933167,15.87011719,9
206,-12,45.51850891,9,1514759131,-73.54942322,15.34960938,9
206,-11,45.51838303,9,1514759132,-73.54951477,15.58984375,9
207,-10,45.51826096,9,1514759133,-73.54961395,15.29980469,9
208,-10,45.5181427,10,1514759134,-73.54970551,15.05957031,10
207,-11,45.51802444,9,1514759135,-73.5497818,15.11035156,9
207,-13,45.51789474,9,1514759136,-73.54985046,14.75,9
207,-12,45.51778793,9,1514759137,-73.54994965,14.54003906,9
207,-13,45.51766586,9,1514759138,-73.5500412,15.03027344,9
208,-14,45.51754761,9,1514759139,-73.55011749,15.1796875,9
209,-14,45.51742554,10,1514759140,-73.55021667,15.36035156,10
208,-13,45.51728821,9,1514759141,-73.55033112,17.98046875,9
209,-14,45.51714325,9,1514759142,-73.55043793,19.19042969,9
209,-14,45.51698685,10,1514759143,-73.55056,20.45019531,10
209,-13,45.51685333,10,1514759144,-73.55066681,18.83007813,10
209,-12,45.51671219,10,1514759145,-73.55077362,18.45996094,10
211,-12,45.51656723,10,1514759146,-73.55089569,18.04980469,10
212,-14,45.51643372,9,1514759147,-73.55101776,17.99023438,9
212,-16,45.51628876,9,1514759148,-73.5511322,18.16992188,9
213,-17,45.51615524,10,1514759149,-73.5512619,18.20996094,10
213,-17,45.51602173,10,1514759150,-73.5513916,18.25,10
214,-18,45.51587296,10,1514759151,-73.5515213,19.12988281,10
214,-18,45.515728,11,1514759152,-73.55165863,19.71972656,11
214,-13,45.51559448,10,1514759153,-73.55179596,19.16015625,10
214,-15,45.51544952,4,1514759154,-73.55194092,19.34960938,4
214,-15,45.51530838,5,1514759155,-73.55208588,19.53027344,5
216,-16,45.51516342,96,1514759156,-73.55224609,20.41015625,96
212,-18,45.51499939,96,1514759157,-73.55239868,21.25,96
211,-18,45.51482773,4,1514759158,-73.55254364,21.12988281,4
210,-18,45.51466751,5,1514759159,-73.55268097,21.20996094,5
210,-19,45.51448059,5,1514759160,-73.55282593,20.54980469,5
210,-19,45.51432419,6,1514759161,-73.55295563,20.4296875,6
210,-19,45.51416397,96,1514759162,-73.55309296,20.55957031,96
0,0,45.51408386,200,1514759175,-73.55322266,0,200
0,0,45.51416397,331,1514759180,-73.55309296,0,331
0,0,45.50668335,900,1514759185,-73.55843353,0,900
0,0,45.50941086,900,1514759190,-73.55640411,0,900
0,0,45.50980377,500,1514759195,-73.55700684,0,500
210,-21,45.50822067,22,1514759197,-73.55764771,24.75976563,22
211,-19,45.50804138,14,1514759198,-73.55780792,22.75976563,14
209,-21,45.50788498,10,1514759199,-73.55795288,22.75,10
210,-24,45.50771332,9,1514759200,-73.55808258,22,9
211,-23,45.5075531,8,1514759201,-73.55821991,21.65039063,8
212,-23,45.50738144,9,1514759202,-73.55836487,22.36035156,9
211,-22,45.50719452,11,1514759203,-73.55852509,23.41015625,11
209,-21,45.50699234,12,1514759204,-73.55866241,23.98046875,12
208,-22,45.50688171,11,1514759205,-73.5587616,17.55957031,11
208,-22,45.50671005,11,1514759206,-73.5588913,19.94042969,11
213,-22,45.50659943,11,1514759207,-73.55903625,16.83984375,11
214,-22,45.50647736,10,1514759208,-73.55914307,17,10
213,-23,45.50636292,9,1514759209,-73.55925751,16.66015625,9
215,-23,45.50624847,9,1514759210,-73.55937958,16.62011719,9
215,-23,45.5061264,12,1514759211,-73.55950165,16.61035156,12
215,-23,45.50600052,16,1514759212,-73.55963135,16.70019531,16
0,0,45.50600052,186,1514759225,-73.55963135,0,186
0,0,45.50600052,251,1514759230,-73.55963135,0,251
0,0,45.5064621,1100,1514759235,-73.55898285,0,1100
0,0,45.49939346,800,1514759240,-73.56231689,0,800
0,0,45.5064621,1100,1514759245,-73.55898285,0,1100
0,0,45.5064621,1100,1514759251,-73.55898285,0,1100
0,0,45.49838257,900,1514759256,-73.55956268,0,900
0,0,45.49566269,600,1514759261,-73.56368256,0,600
0,0,45.49566269,600,1514759266,-73.56368256,0,600
0,0,45.49700546,800,1514759271,-73.56456757,0,800
234,-30,45.49739838,18,1514759273,-73.56329346,14.59960938,18
248,-34,45.49740219,16,1514759274,-73.56340027,12.61035156,16
262,-33,45.49743271,12,1514759275,-73.56348419,9.490234375,12
267,-33,45.49744415,13,1514759276,-73.56363678,10.20996094,13
269,-33,45.49744415,14,1514759277,-73.56377411,9.860351563,14
296,-32,45.49747849,12,1514759278,-73.56383514,6.580078125,12
285,-32,45.49748611,10,1514759279,-73.56381989,0.76953125,10
0,-32,45.4974823,9,1514759280,-73.56380463,0,9
0,-32,45.49748611,9,1514759281,-73.56380463,0,9
0,-32,45.49748611,9,1514759282,-73.56380463,0,9
284,-31,45.49749374,10,1514759283,-73.563797,0.5703125,10
284,-29,45.49751663,10,1514759284,-73.56380463,0.740234375,10
284,-29,45.49751663,10,1514759285,-73.56381226,1.200195313,10
319,-30,45.49754715,12,1514759286,-73.56384277,2.1796875,12
284,-29,45.49756241,10,1514759287,-73.56384277,0.51953125,10
0,-28,45.49756241,10,1514759288,-73.56383514,0,10
0,-28,45.49756622,10,1514759289,-73.56384277,0,10
0,-28,45.49755096,10,1514759290,-73.56382751,0,10
0,-28,45.49754715,10,1514759291,-73.56381989,0,10
0,-26,45.49754333,11,1514759292,-73.56381226,0,11
0,-26,45.49754715,12,1514759293,-73.56381226,0,12
0,-25,45.49754715,14,1514759294,-73.56380463,0,14
0,-25,45.49755096,17,1514759295,-73.56380463,0,17
0,-24,45.49755096,15,1514759296,-73.56380463,0,15
0,-24,45.49754715,14,1514759297,-73.56380463,0,14
0,-23,45.49754333,13,1514759298,-73.56380463,0,13
0,-23,45.49754333,12,1514759299,-73.56380463,0,12
138,-26,45.49752808,12,1514759300,-73.563797,0.299804688,12
0,-25,45.49755096,11,1514759301,-73.56381989,0,11
0,-24,45.49755096,12,1514759302,-73.56382751,0,12
0,-24,45.49756622,12,1514759303,-73.56384277,0,12
0,-23,45.49757767,12,1514759304,-73.56384277,0,12
0,-22,45.49758148,12,1514759305,-73.56384277,0,12
0,-23,45.49758148,12,1514759306,-73.56385803,0,12
0,-22,45.49757767,13,1514759307,-73.5638504,0,13
0,-21,45.49757385,13,1514759308,-73.5638504,0,13
0,-20,45.49757385,12,1514759309,-73.5638504,0,12
0,-20,45.49757385,12,1514759310,-73.56383514,0,12
0,-20,45.49757385,12,1514759311,-73.56383514,0,12
0,-19,45.49757385,11,1514759312,-73.56383514,0,11
0,-19,45.49757385,11,1514759313,-73.56383514,0,11
0,-18,45.49757385,12,1514759314,-73.56383514,0,12
0,-18,45.49757385,11,1514759315,-73.56383514,0,11
0,-18,45.49757385,12,1514759316,-73.56383514,0,12
0,-18,45.49757385,11,1514759317,-73.56383514,0,11
0,-18,45.49757385,10,1514759318,-73.56383514,0,10
0,-18,45.49757385,10,1514759319,-73.56383514,0,10
0,-18,45.49757385,10,1514759320,-73.56383514,0,10
0,-17,45.49757385,10,1514759321,-73.56384277,0,10
0,-16,45.49757385,9,1514759322,-73.56384277,0,9
0,-16,45.49757385,8,1514759323,-73.56384277,0,8
0,-16,45.49757385,7,1514759324,-73.56384277,0,7
0,-16,45.49757385,7,1514759325,-73.56384277,0,7
0,-16,45.49757385,8,1514759326,-73.56384277,0,8
0,-16,45.49757385,9,1514759327,-73.56384277,0,9
