"","accuracy","scenario","phone","algorithm","application","time","missed","false","distCorrect","distMissed","distFalse"
"1",NA,"Scenario 1","iPhoneSE","AMM","GPSTracker",NA,NA,NA,NA,NA,NA
"2",50,"Scenario 1","iPhone6S","AMM","GPSTracker",98.3721333333,28.2051282051,61.6438356164,82.2655869608,17.7344130392,62.5492807191
"3",65.3846153846,"Scenario 1","iPhone7","AMM","GPSTracker",131.372764228,12.8205128205,47.6923076923,95.0939211537,4.9060788463,45.0089553889
"4",64.7619047619,"Scenario 1","iPhone7Plus","AMM","GPSTracker",133.408813559,12.8205128205,48.4848484848,94.1798289651,5.82017103485,52.7015580021
"5",63.5514018692,"Scenario 1","iPhone8","AMM","GPSTracker",119.856774194,12.8205128205,50,94.6348763156,5.36512368443,50.8874677145
"6",50.406504065,"Scenario 1","GalaxyS5","AMM","GPSTracker",69.5431309904,20.5128205128,63.0952380952,87.2000803819,12.7999196181,64.9163349546
"7",51.724137931,"Scenario 1","GalaxyS7","AMM","GPSTracker",68.3919805195,23.0769230769,61.038961039,77.4452200131,22.5547799869,62.834104636
"8",51.4285714286,"Scenario 1","GalaxyS8","AMM","GPSTracker",62.5863057325,30.7692307692,59.0909090909,74.3977208558,25.6022791442,58.4333393378
"9",49.5575221239,"Scenario 1","LGG6","AMM","GPSTracker",68.0098402556,28.2051282051,62.1621621622,82.2655869608,17.7344130392,62.7735004522
"10",53.0973451327,"Scenario 1","Pixel2","AMM","GPSTracker",63.407232376,23.0769230769,59.4594594595,81.2228909111,18.7771090889,61.9442501879
"11",51.5625,"Scenario 2","iPhoneSE","AMM","GPSTracker",180.232419355,38.8888888889,55.4054054054,64.3555617018,35.6444382982,53.8258146867
"12",55.5555555556,"Scenario 2","iPhone6S","AMM","GPSTracker",30947.1,25.9259259259,55.5555555556,75.701988514,24.298011486,54.9162248944
"13",51.2396694215,"Scenario 2","iPhone7","AMM","GPSTracker",189.155245902,42.5925925926,53.7313432836,63.4773832058,36.5226167942,50.5694611703
"14",48.3870967742,"Scenario 2","iPhone7Plus","AMM","GPSTracker",186.710887097,44.4444444444,57.1428571429,64.6943292519,35.3056707481,49.5120533506
"15",51.9083969466,"Scenario 2","iPhone8","AMM","GPSTracker",188.916589147,37.037037037,55.8441558442,67.920928534,32.079071466,55.6289376541
"16",43.6363636364,"Scenario 2","GalaxyS5","AMM","GPSTracker",116.199662162,33.3333333333,67.5675675676,70.3288204077,29.6711795923,69.0867161378
"17",48.75,"Scenario 2","GalaxyS7","AMM","GPSTracker",33621.19,27.7777777778,63.2075471698,74.0101775186,25.9898224814,61.3397604922
"18",46.7065868263,"Scenario 2","GalaxyS8","AMM","GPSTracker",111.218966667,27.7777777778,65.4867256637,68.9516698081,31.0483301919,67.0196732153
"19",55.5555555556,"Scenario 2","LGG6","AMM","GPSTracker",104.187009967,25.9259259259,55.5555555556,75.701988514,24.298011486,54.9162248944
"20",36.8794326241,"Scenario 2","Pixel2","AMM","GPSTracker",78.7320183486,51.8518518519,70.1149425287,54.3473707239,45.6526292761,65.9338926238
"21",51.1278195489,"Scenario 3","iPhoneSE","AMM","GPSTracker",154.287830189,47.6923076923,50,69.6055679299,30.3944320701,47.1582507771
"22",58.0152671756,"Scenario 3","iPhone6S","AMM","GPSTracker",140.191980198,41.5384615385,42.4242424242,73.9594324918,26.0405675082,44.2153037816
"23",56.6929133858,"Scenario 3","iPhone7","AMM","GPSTracker",149.570097087,44.6153846154,41.935483871,74.0373858213,25.9626141787,38.2296553051
"24",53.8461538462,"Scenario 3","iPhone7Plus","AMM","GPSTracker",145.112,46.1538461538,46.1538461538,72.4140877311,27.5859122689,44.427536919
"25",57.1428571429,"Scenario 3","iPhone8","AMM","GPSTracker",150.27728972,41.5384615385,44.1176470588,74.8769396252,25.1230603748,41.6544246113
"26",50.8670520231,"Scenario 3","GalaxyS5","AMM","GPSTracker",94.6191732283,32.3076923077,59.2592592593,82.8941773552,17.1058226448,65.7055169349
"27",50.8670520231,"Scenario 3","GalaxyS7","AMM","GPSTracker",96.560511811,32.3076923077,59.2592592593,82.8941773552,17.1058226448,65.7055169349
"28",57.9881656805,"Scenario 3","GalaxyS8","AMM","GPSTracker",102.522071713,24.6153846154,52.8846153846,89.5382542965,10.4617457035,55.5805108763
"29",54.1436464088,"Scenario 3","LGG6","AMM","GPSTracker",108.484898785,24.6153846154,57.7586206897,86.2878804461,13.7121195539,61.7291820068
"30",48.6187845304,"Scenario 3","Pixel2","AMM","GPSTracker",93.0109294872,32.3076923077,62.0689655172,81.3015783883,18.6984216117,63.5967863628
"31",55.7692307692,"Scenario 4","iPhoneSE","AMM","GPSTracker",116.260948276,25.641025641,55.3846153846,84.4517572269,15.5482427731,51.3480106897
"32",45.7627118644,"Scenario 4","iPhone6S","AMM","GPSTracker",56.1232978723,30.7692307692,65.8227848101,83.0229284798,16.9770715202,68.9903826305
"33",59.2592592593,"Scenario 4","iPhone7","AMM","GPSTracker",112.51539823,17.9487179487,53.6231884058,88.4134837056,11.5865162944,52.347915284
"34",58.8235294118,"Scenario 4","iPhone7Plus","AMM","GPSTracker",116.249655172,23.0769230769,52.380952381,87.7890247679,12.2109752321,46.1365484658
"35",24,"Scenario 4","iPhone8","AMM","GPSTracker",166.795430464,30.7692307692,85.4838709677,79.6481108461,20.3518891539,85.1683699866
"36",39.0977443609,"Scenario 4","GalaxyS5","AMM","GPSTracker",62.8197658863,33.3333333333,72.3404255319,79.5303619787,20.4696380213,71.2892801461
"37",40.3225806452,"Scenario 4","GalaxyS7","AMM","GPSTracker",56.3399029126,35.8974358974,70.5882352941,79.877506589,20.122493411,69.5776887885
