"","accuracy","scenario","phone","algorithm","application","time","missed","false","distCorrect","distMissed","distFalse"
"38",40.9090909091,"Scenario 4","GalaxyS8","AMM","GPSTracker",58.4287931034,30.7692307692,70.9677419355,82.0920075978,17.9079924022,71.6825354017
"39",45.7627118644,"Scenario 4","LGG6","AMM","GPSTracker",62.4948042705,30.7692307692,65.8227848101,83.0229284798,16.9770715202,68.9903826305
"40",43.2,"Scenario 4","Pixel2","AMM","GPSTracker",50.7168101266,30.7692307692,68.6046511628,77.0359443224,22.9640556776,67.2709302588
"41",57.8512396694,"Scenario 5","iPhoneSE","AMM","GPSTracker",139.232285714,46.1538461538,37.5,58.5731640701,41.4268359299,50.9264831241
"42",59.842519685,"Scenario 5","iPhone6S","AMM","GPSTracker",153.960693069,41.5384615385,38.7096774194,77.8316610756,22.1683389244,49.0151838763
"43",53.125,"Scenario 5","iPhone7","AMM","GPSTracker",12512.15,47.6923076923,46.0317460317,78.7145038664,21.2854961336,52.2224527569
"44",55.9322033898,"Scenario 5","iPhone7Plus","AMM","GPSTracker",127.497788462,49.2307692308,37.7358490566,72.931177505,27.068822495,51.4342811331
"45",56.25,"Scenario 5","iPhone8","AMM","GPSTracker",205.888679245,44.6153846154,42.8571428571,80.952794339,19.047205661,42.0719108942
"46",54.5454545455,"Scenario 5","GalaxyS5","AMM","GPSTracker",101.632669323,26.1538461538,56.7567567568,91.1368222296,8.86317777038,61.9062144459
"47",54.5454545455,"Scenario 5","GalaxyS7","AMM","GPSTracker",102.026175299,26.1538461538,56.7567567568,91.1368222296,8.86317777038,61.9062144459
"48",57.4712643678,"Scenario 5","GalaxyS8","AMM","GPSTracker",90.57192,23.0769230769,54.128440367,87.618557357,12.381442643,61.2691243474
"49",55.3672316384,"Scenario 5","LGG6","AMM","GPSTracker",97.30036,24.6153846154,56.25,80.3798235211,19.6201764789,70.7569462739
"50",51.9607843137,"Scenario 5","Pixel2","AMM","GPSTracker",93.071607717,18.4615384615,61.8705035971,95.1257459332,4.87425406676,69.5700791122
"51",34.5679012346,"Scenario 6","iPhoneSE","AMM","GPSTracker",207.9825,63.1578947368,67.4418604651,84.8523192701,15.1476807299,63.1760212054
"52",42.6666666667,"Scenario 6","iPhone6S","AMM","GPSTracker",230.482941176,57.8947368421,56.7567567568,85.6674315329,14.3325684671,48.5345410911
"53",39.5061728395,"Scenario 6","iPhone7","AMM","GPSTracker",192.16,57.8947368421,62.7906976744,85.5604057625,14.4395942375,57.9920925594
"54",42.6666666667,"Scenario 6","iPhone7Plus","AMM","GPSTracker",208.45115942,57.8947368421,56.7567567568,70.9563072704,29.0436927296,60.3103820238
"55",37.9746835443,"Scenario 6","iPhone8","AMM","GPSTracker",210.415,60.5263157895,63.4146341463,85.5578477997,14.4421522003,57.7310871083
"56",31.884057971,"Scenario 6","GalaxyS5","AMM","GPSTracker",177.332909091,42.1052631579,78,90.9876233952,9.01237660478,86.4071354061
"57",31.884057971,"Scenario 6","GalaxyS7","AMM","GPSTracker",170.42969697,42.1052631579,78,90.9876233952,9.01237660478,86.4071354061
"58",31.1475409836,"Scenario 6","GalaxyS8","AMM","GPSTracker",170.203602484,50,77.380952381,87.937812745,12.062187255,84.9617357779
"59",28.8,"Scenario 6","LGG6","AMM","GPSTracker",149.836,52.6315789474,79.3103448276,86.8527824279,13.1472175721,86.0063595851
"60",17.6470588235,"Scenario 6","Pixel2","AMM","GPSTracker",142.911094527,68.4210526316,87.7551020408,58.1760665494,41.8239334506,91.6999142974
"61",16,"Scenario 7","iPhoneSE","AMM","GPSTracker",653.480645161,90.9090909091,33.3333333333,20.6429653253,79.3570346747,7.62062690325
"62",8,"Scenario 7","iPhone6S","AMM","GPSTracker",245.15765625,95.4545454545,66.6666666667,17.2209985978,82.7790014022,24.1858592644
"63",15.3846153846,"Scenario 7","iPhone7","AMM","GPSTracker",271.9025,90.9090909091,50,20.6429653253,79.3570346747,21.0193107951
"64",16,"Scenario 7","iPhone7Plus","AMM","GPSTracker",407.804333333,90.9090909091,33.3333333333,20.6429653253,79.3570346747,7.62062690325
"65",NA,"Scenario 7","iPhone8","AMM","GPSTracker",NA,NA,NA,NA,NA,NA
"66",35.7142857143,"Scenario 7","GalaxyS5","AMM","GPSTracker",211.108852459,54.5454545455,70.5882352941,48.3841573584,51.6158426416,77.4532205882
"67",35.7142857143,"Scenario 7","GalaxyS7","AMM","GPSTracker",231.503114754,54.5454545455,70.5882352941,48.3841573584,51.6158426416,77.4532205882
"68",30.1886792453,"Scenario 7","GalaxyS8","AMM","GPSTracker",451.859016393,63.6363636364,74.1935483871,52.4445903636,47.5554096364,74.4566739612
"69",39.2857142857,"Scenario 7","LGG6","AMM","GPSTracker",200.672432432,50,67.6470588235,63.3116634317,36.6883365683,72.7875076304
"70",34.375,"Scenario 7","Pixel2","AMM","GPSTracker",184.555774648,50,73.8095238095,50.6709745359,49.3290254641,79.6172264012
"71",44,"Scenario 8","iPhoneSE","AMM","GPSTracker",1019.83478261,48.8372093023,61.4035087719,52.7041581778,47.2958418222,81.58513168
"72",37.8947368421,"Scenario 8","iPhone6S","AMM","GPSTracker",119786.5,58.1395348837,65.3846153846,44.4725736103,55.5274263897,84.7806370469
"73",38.7096774194,"Scenario 8","iPhone7","AMM","GPSTracker",968.75826087,58.1395348837,64,51.484161825,48.515838175,83.1487346369
"74",41.9047619048,"Scenario 8","iPhone7Plus","AMM","GPSTracker",1162.12894737,48.8372093023,64.5161290323,68.6285933416,31.3714066584,79.4500652961
"75",28.5714285714,"Scenario 8","iPhone8","AMM","GPSTracker",841.278103448,67.4418604651,74.5454545455,18.9220856352,81.0779143648,92.8794530178
"76",32.2916666667,"Scenario 8","GalaxyS5","AMM","GPSTracker",680.107287449,27.9069767442,79.1946308725,88.1919165935,11.8080834065,89.0609681103
"77",27.027027027,"Scenario 8","GalaxyS7","AMM","GPSTracker",755.540754717,41.8604651163,82.3943661972,80.8811329249,19.1188670751,88.7496458175
"78",29.347826087,"Scenario 8","GalaxyS8","AMM","GPSTracker",899.852631579,37.2093023256,80.8510638298,87.1854511902,12.8145488098,86.8415473583
"79",28.2722513089,"Scenario 8","LGG6","AMM","GPSTracker",235.6,37.2093023256,81.7567567568,82.3018429347,17.6981570653,89.6467580626
"80",23.9631336406,"Scenario 8","Pixel2","AMM","GPSTracker",767.778527607,39.5348837209,85.0574712644,81.3207027439,18.6792972561,92.0703276939
"81",55.6291390728,"Scenario 9","iPhoneSE","AMM","GPSTracker",334.10049505,43.2432432432,45.4545454545,80.5239960826,19.4760039174,41.528299148
"82",57.7464788732,"Scenario 9","iPhone6S","AMM","GPSTracker",285.4996,44.5945945946,39.7058823529,74.7797327111,25.2202672889,46.6829618274
"83",32.3232323232,"Scenario 9","iPhone7","AMM","GPSTracker",213.922571429,78.3783783784,36,39.1306119865,60.8693880135,37.8438806628
"84",53.164556962,"Scenario 9","iPhone7Plus","AMM","GPSTracker",302.530380952,43.2432432432,50,81.5976369258,18.4023630742,52.6954718799
"85",53.5947712418,"Scenario 9","iPhone8","AMM","GPSTracker",349.580291262,44.5945945946,48.1012658228,76.0403795138,23.9596204862,54.8164456305
"86",50.5050505051,"Scenario 9","GalaxyS5","AMM","GPSTracker",205.652868526,32.4324324324,59.6774193548,70.9804377492,29.0195622508,66.2125486277
"87",50.5050505051,"Scenario 9","GalaxyS7","AMM","GPSTracker",222.530354331,32.4324324324,59.6774193548,70.9804377492,29.0195622508,66.2125486277
"88",50.7772020725,"Scenario 9","GalaxyS8","AMM","GPSTracker",214.99437247,33.7837837838,58.8235294118,70.6580262025,29.3419737975,66.0497296951
"89",50,"Scenario 9","LGG6","AMM","GPSTracker",223.45358871,31.0810810811,60.7692307692,69.0933679373,30.9066320627,71.9617275911
"90",53.7037037037,"Scenario 9","Pixel2","AMM","GPSTracker",180.867866242,21.6216216216,59.1549295775,74.9265890482,25.0734109518,70.2470887225
"91",37.2413793103,"Scenario 10","iPhoneSE","AMM","GPSTracker",1105.09906542,59.0909090909,65.8227848101,64.8592538606,35.1407461394,75.4356423278
"92",34.8993288591,"Scenario 10","iPhone6S","AMM","GPSTracker",1099.7009009,60.6060606061,68.6746987952,65.5693958677,34.4306041323,73.0451889519
"93",34.4370860927,"Scenario 10","iPhone7","AMM","GPSTracker",1148.07545455,60.6060606061,69.4117647059,64.431481743,35.568518257,70.4892283069
"94",34.2465753425,"Scenario 10","iPhone7Plus","AMM","GPSTracker",1123.21727273,62.1212121212,68.75,67.7466525437,32.2533474563,77.916243255
"95",33.3333333333,"Scenario 10","iPhone8","AMM","GPSTracker",1109.2254717,63.6363636364,69.2307692308,59.7917424305,40.2082575695,76.6956266339
"96",30.9012875536,"Scenario 10","GalaxyS5","AMM","GPSTracker",805.38,45.4545454545,78.4431137725,73.5639296349,26.4360703651,88.0854172447
"97",29.8245614035,"Scenario 10","GalaxyS7","AMM","GPSTracker",997.598046875,48.4848484848,79.012345679,73.2619929366,26.7380070634,88.1617470306
"98",33.3333333333,"Scenario 10","GalaxyS8","AMM","GPSTracker",1077.73665339,39.3939393939,77.0114942529,81.1059964176,18.8940035824,87.1404394582
"99",32.5991189427,"Scenario 10","LGG6","AMM","GPSTracker",1102.695,43.9393939394,77.0186335404,77.5955188692,22.4044811308,85.9747997964
"100",25.78125,"Scenario 10","Pixel2","AMM","GPSTracker",882.165714286,50,82.6315789474,73.5949999255,26.4050000745,88.8989484832
"101",41.3793103448,"Scenario 11","iPhoneSE","AMM","GPSTracker",1607.12376238,60,57.1428571429,41.2797019972,58.7202980028,69.3864460511
"102",36,"Scenario 11","iPhone6S","AMM","GPSTracker",1891.3025641,55,70,52.6086544032,47.3913455968,68.0731991518
"103",35.7723577236,"Scenario 11","iPhone7","AMM","GPSTracker",1647.12886598,63.3333333333,65.0793650794,44.1203509542,55.8796490458,74.4193243143
"104",33.8709677419,"Scenario 11","iPhone7Plus","AMM","GPSTracker",2309.31376147,65,67.1875,51.924950981,48.075049019,65.1366272126
"105",39.6694214876,"Scenario 11","iPhone8","AMM","GPSTracker",1728.64948454,60,60.6557377049,41.3620656054,58.6379343946,77.1934199908
"106",43.2098765432,"Scenario 11","GalaxyS5","AMM","GPSTracker",1319.09917695,41.6666666667,65.6862745098,60.3094549329,39.6905450671,73.8265457293
"107",35.4285714286,"Scenario 11","GalaxyS7","AMM","GPSTracker",1231.45366795,48.3333333333,73.0434782609,52.6826302091,47.3173697909,80.0161361655
"108",41.2121212121,"Scenario 11","GalaxyS8","AMM","GPSTracker",1243.562249,43.3333333333,67.619047619,56.0848044055,43.9151955945,77.1234026858
"109",37.2093023256,"Scenario 11","LGG6","AMM","GPSTracker",1254.45810277,46.6666666667,71.4285714286,55.0637304511,44.9362695489,80.2543976093
"110",33.3333333333,"Scenario 11","Pixel2","AMM","GPSTracker",1541.8037037,45,76.0869565217,54.4786980854,45.5213019146,83.3102343105
"111",29.4736842105,"Scenario 12","iPhoneSE","AMM","GPSTracker",1028.21327434,71.4285714286,69.5652173913,53.5813939248,46.4186060752,71.5759045923
"112",27.1844660194,"Scenario 12","iPhone6S","AMM","GPSTracker",1044.92035398,71.4285714286,74.0740740741,54.1020226,45.8979774,74.7073645793
"113",43.75,"Scenario 12","iPhone7","AMM","GPSTracker",1290.16929825,42.8571428571,64.5569620253,85.4023999569,14.5976000431,73.9955359109
"114",42.1052631579,"Scenario 12","iPhone7Plus","AMM","GPSTracker",1438.8745614,42.8571428571,66.6666666667,87.1456089122,12.8543910878,70.9194500841
"115",44.094488189,"Scenario 12","iPhone8","AMM","GPSTracker",1339.50438596,42.8571428571,64.1025641026,88.2765929084,11.7234070916,73.4007236323
"116",30.7692307692,"Scenario 12","GalaxyS5","AMM","GPSTracker",838.1424,42.8571428571,78.9473684211,82.805878615,17.194121385,85.7391116863
"117",34.2857142857,"Scenario 12","GalaxyS7","AMM","GPSTracker",275416.7,26.5306122449,77.6397515528,91.8006560608,8.19934393922,86.0189065774
"118",36.3636363636,"Scenario 12","GalaxyS8","AMM","GPSTracker",1068.50692308,26.5306122449,75.8389261745,92.7006550668,7.29934493316,83.672978637
"119",32.8358208955,"Scenario 12","LGG6","AMM","GPSTracker",999.262977099,32.6530612245,78.2894736842,88.2671232717,11.7328767283,85.3648166794
"120",26.3374485597,"Scenario 12","Pixel2","AMM","GPSTracker",960.357492355,34.693877551,83.5051546392,90.8881832133,9.11181678672,86.6466169923
"121",22.754491018,"Scenario 1","iPhoneSE","AMM","TrueMotion",48.9327023582,2.5641025641,87.1186440678,98.7997092998,1.20029070019,86.9051025358
"122",22.5165562914,"Scenario 1","iPhone6S","AMM","TrueMotion",42.4018300654,12.8205128205,87.072243346,91.2679112659,8.73208873414,87.0921327459
"123",25.6756756757,"Scenario 1","iPhone7","AMM","TrueMotion",41.4089016603,2.5641025641,85.2140077821,98.7997092998,1.20029070019,86.3076897681
"124",22.8571428571,"Scenario 1","iPhone7Plus","AMM","TrueMotion",43.0719889503,17.9487179487,86.7219917012,80.5579664528,19.4420335472,87.374212604
"125",20.1086956522,"Scenario 1","iPhone8","AMM","TrueMotion",45.4900635728,5.12820512821,88.7537993921,97.7049378697,2.29506213032,91.2523211098
"126",18.7192118227,"Scenario 1","GalaxyS5","AMM","TrueMotion",50.6337928958,2.5641025641,89.6457765668,98.7997092998,1.20029070019,91.0393119703
"127",NA,"Scenario 1","GalaxyS7","AMM","TrueMotion",NA,NA,NA,NA,NA,NA
"128",18.4397163121,"Scenario 1","GalaxyS8","AMM","TrueMotion",51.021799885,0,89.84375,100,0,91.7049395746
"129",19.8433420366,"Scenario 1","LGG6","AMM","TrueMotion",51.0758268657,2.5641025641,88.9534883721,98.7997092998,1.20029070019,90.6400675997
"130",19.8979591837,"Scenario 1","Pixel2","AMM","TrueMotion",49.9643026539,0,88.9518413598,100,0,90.6644815662
"131",25.1396648045,"Scenario 2","iPhoneSE","AMM","TrueMotion",49.0740982182,16.6666666667,85.1973684211,87.3889101636,12.6110898364,85.9424140448
"132",21.7283950617,"Scenario 2","iPhone6S","AMM","TrueMotion",53.7373114463,18.5185185185,87.4643874644,82.1458821874,17.8541178126,88.2147160499
"133",22.5201072386,"Scenario 2","iPhone7","AMM","TrueMotion",52.1378591288,22.2222222222,86.8338557994,72.3933136765,27.6066863235,89.0150948768
"134",22.2222222222,"Scenario 2","iPhone7Plus","AMM","TrueMotion",51.9611137554,25.9259259259,86.9281045752,71.053334512,28.946665488,89.2248201413
"135",30.612244898,"Scenario 2","iPhone8","AMM","TrueMotion",46.3789027654,16.6666666667,81.25,79.1852797909,20.8147202091,81.4796280227
"136",20.618556701,"Scenario 2","GalaxyS5","AMM","TrueMotion",63.8270642202,25.9259259259,88.0239520958,69.8070620165,30.1929379835,89.5464779417
"137",NA,"Scenario 2","GalaxyS7","AMM","TrueMotion",NA,NA,NA,NA,NA,NA
"138",23.9024390244,"Scenario 2","GalaxyS8","AMM","TrueMotion",69.4292081804,9.25925925926,86.2359550562,86.7379528267,13.2620471733,86.0701105759
"139",25.8258258258,"Scenario 2","LGG6","AMM","TrueMotion",64.8914714715,20.3703703704,84.5878136201,69.8181530187,30.1818469813,84.5906778965
"140",22.8855721393,"Scenario 2","Pixel2","AMM","TrueMotion",54.1806987644,14.8148148148,86.7816091954,81.3548701986,18.6451298014,86.9299701118
"141",40.1486988848,"Scenario 3","iPhoneSE","AMM","TrueMotion",45.0469660916,16.9230769231,73.5294117647,89.8869998934,10.1130001066,80.675642751
"142",33.3333333333,"Scenario 3","iPhone6S","AMM","TrueMotion",51.5213095238,6.15384615385,79.7342192691,95.6421688847,4.35783111527,86.0408229389
"143",38.8692579505,"Scenario 3","iPhone7","AMM","TrueMotion",47.0981499108,15.3846153846,74.7706422018,90.1194043681,9.88059563188,80.6503300713
"144",40.625,"Scenario 3","iPhone7Plus","AMM","TrueMotion",43.6249940476,20,72.7748691099,83.614034577,16.385965423,79.4326055443
"145",40.1486988848,"Scenario 3","iPhone8","AMM","TrueMotion",43.6093039857,16.9230769231,73.5294117647,83.8365393344,16.1634606656,81.5562331588
"146",43.321299639,"Scenario 3","GalaxyS5","AMM","TrueMotion",44.5638845925,7.69230769231,71.6981132075,92.3232858795,7.6767141205,80.6136828831
"147",31.007751938,"Scenario 3","GalaxyS7","AMM","TrueMotion",50.876202381,7.69230769231,81.3664596273,92.9162689465,7.08373105346,88.9663652973
"148",35.2941176471,"Scenario 3","GalaxyS8","AMM","TrueMotion",44.1044199881,21.5384615385,77.2321428571,85.8859919222,14.1140080778,82.8002870698
"149",40.9090909091,"Scenario 3","LGG6","AMM","TrueMotion",44.0758922156,16.9230769231,72.864321608,89.8869998934,10.1130001066,80.7518595312
"150",25.9946949602,"Scenario 3","Pixel2","AMM","TrueMotion",54.8856811422,24.6153846154,84.2948717949,81.2392579456,18.7607420544,88.3229539651
"151",19.6721311475,"Scenario 4","iPhoneSE","AMM","TrueMotion",7735.78525641,7.69230769231,88.9908256881,91.3010556446,8.69894435538,90.7871296878
"152",18.3727034121,"Scenario 4","iPhone6S","AMM","TrueMotion",2073.47596154,10.2564102564,89.7660818713,90.9857751798,9.01422482023,91.5894082773
"153",16.6666666667,"Scenario 4","iPhone7","AMM","TrueMotion",44.0495886752,17.9487179487,90.7246376812,81.4477335015,18.5522664985,92.3359718438
"154",18.5567010309,"Scenario 4","iPhone7Plus","AMM","TrueMotion",59.283395622,7.69230769231,89.6848137536,91.2329058567,8.76709414329,91.7014900942
"155",19.5652173913,"Scenario 4","iPhone8","AMM","TrueMotion",48.2772411953,7.69230769231,89.0577507599,91.2329058567,8.76709414329,90.8122349205
"156",NA,"Scenario 4","GalaxyS5","AMM","TrueMotion",NA,NA,NA,NA,NA,NA
"157",0,"Scenario 4","GalaxyS7","AMM","TrueMotion",167.573777463,100,100,0,100,100
"158",16.0621761658,"Scenario 4","GalaxyS8","AMM","TrueMotion",54.6311965812,20.5128205128,91.0662824207,78.6770457091,21.3229542909,93.1129058925
"159",19.4986072423,"Scenario 4","LGG6","AMM","TrueMotion",49.8533755274,10.2564102564,89.0625,90.8554552298,9.14454477018,91.6427659191
"160",15.7407407407,"Scenario 4","Pixel2","AMM","TrueMotion",1184.16211878,12.8205128205,91.3486005089,84.2776954571,15.7223045429,93.1971025877
"161",48.4304932735,"Scenario 5","iPhoneSE","AMM","TrueMotion",51.8524712644,16.9230769231,65.8227848101,77.1324078888,22.8675921112,80.6141911895
"162",43.5714285714,"Scenario 5","iPhone6S","AMM","TrueMotion",59.3184376795,6.15384615385,71.6279069767,98.3938659513,1.60613404867,78.1973773131
"163",42.1052631579,"Scenario 5","iPhone7","AMM","TrueMotion",63.8510626077,13.8461538462,72.1393034826,91.0607482076,8.93925179241,82.1826999031
"164",47.0588235294,"Scenario 5","iPhone7Plus","AMM","TrueMotion",72.1892528736,13.8461538462,67.6300578035,85.8078416401,14.1921583599,78.2528767813
"165",44.1947565543,"Scenario 5","iPhone8","AMM","TrueMotion",53.9527132262,9.23076923077,70.7920792079,85.1403261529,14.8596738471,80.9677232838
"166",36.3636363636,"Scenario 5","GalaxyS5","AMM","TrueMotion",52.3693505747,10.7692307692,77.1653543307,93.3570820337,6.6429179663,87.2083799446
"167",46.1538461538,"Scenario 5","GalaxyS7","AMM","TrueMotion",42.594816092,12.3076923077,68.6813186813,92.1399738314,7.86002616858,77.3120734501
"168",38.0062305296,"Scenario 5","GalaxyS8","AMM","TrueMotion",59.1681217691,6.15384615385,76.171875,97.9645905084,2.03540949163,86.1305605072
"169",NA,"Scenario 5","LGG6","AMM","TrueMotion",NA,NA,NA,NA,NA,NA
"170",28.125,"Scenario 5","Pixel2","AMM","TrueMotion",56.9569482759,16.9230769231,83.0721003135,91.0639126703,8.93608732969,90.180827443
"171",28.6995515695,"Scenario 6","iPhoneSE","AMM","TrueMotion",88226.82,15.7894736842,82.7027027027,96.3584674624,3.64153253759,92.0415824139
"172",28.5714285714,"Scenario 6","iPhone6S","AMM","TrueMotion",79279.5,15.7894736842,82.7956989247,95.1427691386,4.85723086144,92.2626514769
"173",30.6976744186,"Scenario 6","iPhone7","AMM","TrueMotion",89.2535641317,13.1578947368,81.3559322034,95.9679164863,4.0320835137,91.9463142191
"174",29.4372294372,"Scenario 6","iPhone7Plus","AMM","TrueMotion",100.416231555,10.5263157895,82.3834196891,96.6563566133,3.34364338668,92.4560153373
"175",24.0663900415,"Scenario 6","iPhone8","AMM","TrueMotion",107.361759364,23.6842105263,85.7142857143,93.9625720089,6.03742799108,92.8887086916
"176",28.3185840708,"Scenario 6","GalaxyS5","AMM","TrueMotion",94.0604797441,15.7894736842,82.9787234043,95.1427691386,4.85723086144,92.2732052873
"177",31.1111111111,"Scenario 6","GalaxyS7","AMM","TrueMotion",100.848131635,7.89473684211,81.2834224599,97.4131503507,2.5868496493,91.6334918009
"178",26.7782426778,"Scenario 6","GalaxyS8","AMM","TrueMotion",101.540944255,15.7894736842,84.07960199,82.5708585976,17.4291414024,93.7783592932
"179",25.8620689655,"Scenario 6","LGG6","AMM","TrueMotion",84.3507638889,21.0526315789,84.5360824742,94.8448799876,5.15512001235,92.7598300568
"180",29.6610169492,"Scenario 6","Pixel2","AMM","TrueMotion",107.207097506,7.89473684211,82.3232323232,97.1471297841,2.85287021593,90.4633054545
"181",19.2771084337,"Scenario 7","iPhoneSE","AMM","TrueMotion",78.3906570842,27.2727272727,88.8888888889,84.2767823602,15.7232176398,91.0391862495
"182",20.5128205128,"Scenario 7","iPhone6S","AMM","TrueMotion",54.2815062112,27.2727272727,88.0597014925,84.9235247058,15.0764752942,90.0827224966
"183",20.5128205128,"Scenario 7","iPhone7","AMM","TrueMotion",93.2956232687,27.2727272727,88.0597014925,87.5903768744,12.4096231256,90.0836079261
"184",15.2380952381,"Scenario 7","iPhone7Plus","AMM","TrueMotion",60.4588288288,27.2727272727,91.4893617021,87.8397487617,12.1602512383,94.0540857626
"185",21.9178082192,"Scenario 7","iPhone8","AMM","TrueMotion",53.0898507463,27.2727272727,87.0967741935,74.5795468053,25.4204531947,90.7836006499
