typ,time,latitude,longitude,altitude (m),name,desc
T,30/12/2017 21:12,45.504974,-73.55661,-9,,
T,30/12/2017 21:12,45.504955,-73.556519,-8,,
T,30/12/2017 21:12,45.504898,-73.556343,-7,,
T,30/12/2017 21:12,45.50481,-73.55616,-2,,
T,30/12/2017 21:12,45.504749,-73.556038,0,,
T,30/12/2017 21:12,45.504669,-73.555923,5,,
T,30/12/2017 21:12,45.504669,-73.555824,8,,
T,30/12/2017 21:12,45.504532,-73.55574,9,,
T,30/12/2017 21:12,45.504463,-73.555389,14,,
T,30/12/2017 21:12,45.504475,-73.555191,14,,
T,30/12/2017 21:12,45.504353,-73.555054,13,,
T,30/12/2017 21:12,45.504314,-73.554924,12,,
T,30/12/2017 21:12,45.504292,-73.55484,11,,
T,30/12/2017 21:12,45.504341,-73.554771,9,,
T,30/12/2017 21:13,45.504383,-73.554726,5,,
T,30/12/2017 21:13,45.504375,-73.554565,-1,,
T,30/12/2017 21:13,45.504333,-73.554451,0,,
T,30/12/2017 21:13,45.504246,-73.554199,-1,,
T,30/12/2017 21:13,45.504166,-73.554047,-1,,
T,30/12/2017 21:13,45.504139,-73.553848,-3,,
T,30/12/2017 21:13,45.504162,-73.553726,-6,,
T,30/12/2017 21:13,45.50415,-73.553658,-7,,
T,30/12/2017 21:13,45.504299,-73.553535,-10,,
T,30/12/2017 21:13,45.504917,-73.553452,-18,,
T,30/12/2017 21:13,45.505116,-73.55336,-19,,
T,30/12/2017 21:13,45.505222,-73.553291,-18,,
T,30/12/2017 21:14,45.505287,-73.553268,-16,,
T,30/12/2017 21:14,45.505325,-73.553238,-17,,
T,30/12/2017 21:14,45.505394,-73.553268,-16,,
T,30/12/2017 21:14,45.505451,-73.553391,-16,,
T,30/12/2017 21:14,45.505474,-73.553467,-15,,
T,30/12/2017 21:14,45.505512,-73.553543,-16,,
T,30/12/2017 21:14,45.505535,-73.553612,-15,,
T,30/12/2017 21:14,45.505566,-73.553673,-16,,
T,30/12/2017 21:14,45.5056,-73.553764,-17,,
T,30/12/2017 21:15,45.505672,-73.554001,-16,,
T,30/12/2017 21:15,45.50573,-73.554199,-16,,
T,30/12/2017 21:15,45.505779,-73.554337,-16,,
T,30/12/2017 21:15,45.505875,-73.554405,-14,,
T,30/12/2017 21:15,45.505951,-73.554382,-12,,
T,30/12/2017 21:15,45.506016,-73.554359,-13,,
T,30/12/2017 21:15,45.506058,-73.554131,-11,,
T,30/12/2017 21:15,45.506126,-73.553841,-18,,
T,30/12/2017 21:15,45.506058,-73.553734,-16,,
T,30/12/2017 21:15,45.505939,-73.553787,-15,,
T,30/12/2017 21:15,45.505913,-73.553848,-16,,
T,30/12/2017 21:16,45.505878,-73.553741,-18,,
T,30/12/2017 21:16,45.505783,-73.553711,-21,,
T,30/12/2017 21:16,45.505726,-73.553749,-24,,
T,30/12/2017 21:16,45.505646,-73.553795,-21,,
T,30/12/2017 21:16,45.505672,-73.554016,-18,,
T,30/12/2017 21:16,45.505726,-73.554253,-16,,
T,30/12/2017 21:16,45.505829,-73.554543,-14,,
T,30/12/2017 21:16,45.505905,-73.554771,-13,,
T,30/12/2017 21:16,45.506016,-73.555054,-14,,
T,30/12/2017 21:16,45.506042,-73.555176,-9,,
T,30/12/2017 21:17,45.506123,-73.555336,-9,,
T,30/12/2017 21:17,45.506172,-73.555496,-9,,
T,30/12/2017 21:17,45.506256,-73.55558,-11,,
T,30/12/2017 21:17,45.506416,-73.555496,-9,,
T,30/12/2017 21:17,45.506607,-73.555405,-2,,
T,30/12/2017 21:17,45.506821,-73.555374,2,,
T,30/12/2017 21:17,45.506958,-73.555244,2,,
T,30/12/2017 21:17,45.507145,-73.555084,1,,
T,30/12/2017 21:17,45.507305,-73.554932,4,,
T,30/12/2017 21:17,45.507492,-73.554726,-1,,
T,30/12/2017 21:18,45.507591,-73.554649,1,,
T,30/12/2017 21:18,45.507664,-73.55452,0,,
T,30/12/2017 21:18,45.507633,-73.554405,0,,
T,30/12/2017 21:18,45.507565,-73.554176,0,,
T,30/12/2017 21:18,45.507423,-73.55394,1,,
T,30/12/2017 21:18,45.507328,-73.553841,2,,
T,30/12/2017 21:18,45.507359,-73.55378,3,,
