type,time,latitude,longitude,altitude (m),name,desc
T,31/12/2017 21:49,45.514385,-73.565788,0,,
T,31/12/2017 21:49,45.514587,-73.56572,0,,
T,31/12/2017 21:49,45.514839,-73.565643,2,,
T,31/12/2017 21:49,45.515114,-73.565575,5,,
T,31/12/2017 21:49,45.515343,-73.565453,7,,
T,31/12/2017 21:49,45.515499,-73.565407,8,,
T,31/12/2017 21:49,45.515656,-73.565361,8,,
T,31/12/2017 21:50,45.515762,-73.565338,9,,
T,31/12/2017 21:50,45.515823,-73.565315,9,,
T,31/12/2017 21:50,45.516041,-73.565239,12,,
T,31/12/2017 21:50,45.516251,-73.565178,13,,
T,31/12/2017 21:50,45.516552,-73.565063,12,,
T,31/12/2017 21:50,45.516781,-73.564995,10,,
T,31/12/2017 21:50,45.51693,-73.564865,10,,
T,31/12/2017 21:50,45.516888,-73.564545,11,,
T,31/12/2017 21:50,45.516731,-73.56411,11,,
T,31/12/2017 21:50,45.516582,-73.56369,10,,
T,31/12/2017 21:50,45.516384,-73.563278,12,,
T,31/12/2017 21:50,45.516117,-73.562691,10,,
T,31/12/2017 21:50,45.515892,-73.562302,8,,
T,31/12/2017 21:51,45.515602,-73.561798,8,,
T,31/12/2017 21:51,45.515423,-73.561462,9,,
T,31/12/2017 21:51,45.51527,-73.561272,12,,
T,31/12/2017 21:51,45.515114,-73.561363,11,,
T,31/12/2017 21:51,45.514877,-73.561592,13,,
T,31/12/2017 21:51,45.514729,-73.561707,11,,
T,31/12/2017 21:51,45.514549,-73.561859,10,,
T,31/12/2017 21:51,45.514267,-73.562134,9,,
T,31/12/2017 21:51,45.514038,-73.562309,9,,
T,31/12/2017 21:51,45.51376,-73.562508,9,,
T,31/12/2017 21:51,45.513584,-73.562653,13,,
T,31/12/2017 21:51,45.513523,-73.562675,14,,
T,31/12/2017 21:51,45.51347,-73.562759,12,,
T,31/12/2017 21:51,45.513447,-73.56292,6,,
T,31/12/2017 21:52,45.513622,-73.563255,7,,
T,31/12/2017 21:52,45.513763,-73.563522,5,,
T,31/12/2017 21:52,45.513874,-73.563744,6,,
T,31/12/2017 21:52,45.514011,-73.563988,4,,
T,31/12/2017 21:52,45.514061,-73.564102,6,,
T,31/12/2017 21:52,45.51405,-73.564178,6,,
T,31/12/2017 21:52,45.514011,-73.564224,5,,
T,31/12/2017 21:52,45.513912,-73.564339,5,,
T,31/12/2017 21:52,45.513809,-73.5644,6,,
T,31/12/2017 21:52,45.513748,-73.56427,4,,
T,31/12/2017 21:52,45.513702,-73.56411,2,,
T,31/12/2017 21:52,45.513615,-73.564034,0,,
T,31/12/2017 21:52,45.513504,-73.564087,0,,
T,31/12/2017 21:52,45.513477,-73.564232,-3,,
T,31/12/2017 21:52,45.513565,-73.564461,-3,,
T,31/12/2017 21:52,45.513599,-73.564568,-3,,
T,31/12/2017 21:53,45.513519,-73.564735,-5,,
T,31/12/2017 21:53,45.513348,-73.564857,-3,,
T,31/12/2017 21:53,45.513165,-73.56498,-2,,
T,31/12/2017 21:53,45.513084,-73.565056,3,,
T,31/12/2017 21:53,45.513145,-73.565269,3,,
T,31/12/2017 21:53,45.513245,-73.565544,3,,
T,31/12/2017 21:53,45.513336,-73.565765,5,,
T,31/12/2017 21:54,45.513401,-73.566048,5,,
T,31/12/2017 21:54,45.51329,-73.566147,6,,
T,31/12/2017 21:54,45.513054,-73.566231,4,,
T,31/12/2017 21:54,45.51292,-73.566299,4,,
T,31/12/2017 21:54,45.512901,-73.566383,2,,
T,31/12/2017 21:54,45.512939,-73.566513,1,,
T,31/12/2017 21:54,45.513008,-73.566666,-1,,
T,31/12/2017 21:54,45.513077,-73.566811,-3,,
T,31/12/2017 21:54,45.51313,-73.566948,-5,,
T,31/12/2017 21:54,45.513184,-73.56707,-4,,
T,31/12/2017 21:54,45.513268,-73.567245,-4,,
T,31/12/2017 21:54,45.513355,-73.567398,-3,,
T,31/12/2017 21:54,45.513481,-73.567665,-4,,
T,31/12/2017 21:54,45.513531,-73.567787,-4,,
T,31/12/2017 21:54,45.513622,-73.568054,-1,,
T,31/12/2017 21:55,45.513783,-73.568398,2,,
T,31/12/2017 21:55,45.513882,-73.568619,5,,
T,31/12/2017 21:55,45.513912,-73.568665,10,,
T,31/12/2017 21:55,45.513924,-73.568733,18,,
T,31/12/2017 21:55,45.51395,-73.56881,20,,
T,31/12/2017 21:55,45.514149,-73.56916,18,,
T,31/12/2017 21:55,45.514275,-73.569435,19,,
T,31/12/2017 21:55,45.5145,-73.569817,16,,
T,31/12/2017 21:55,45.514679,-73.570183,16,,
T,31/12/2017 21:55,45.514851,-73.57048,17,,
T,31/12/2017 21:55,45.514969,-73.570778,17,,
T,31/12/2017 21:55,45.515118,-73.571129,22,,
T,31/12/2017 21:55,45.515213,-73.571304,17,,
T,31/12/2017 21:55,45.515259,-73.571358,19,,
T,31/12/2017 21:56,45.515385,-73.571671,21,,
T,31/12/2017 21:56,45.515495,-73.571899,20,,
T,31/12/2017 21:56,45.515636,-73.572243,19,,
T,31/12/2017 21:56,45.51582,-73.572632,18,,
T,31/12/2017 21:56,45.515961,-73.572922,17,,
T,31/12/2017 21:56,45.516079,-73.573166,19,,
T,31/12/2017 21:56,45.516266,-73.573547,21,,
T,31/12/2017 21:56,45.516376,-73.573723,20,,
T,31/12/2017 21:56,45.516407,-73.573845,22,,
T,31/12/2017 21:56,45.516415,-73.574043,23,,
T,31/12/2017 21:56,45.516262,-73.574188,24,,
T,31/12/2017 21:56,45.516071,-73.574265,24,,
T,31/12/2017 21:56,45.516029,-73.574295,27,,
T,31/12/2017 21:57,45.51593,-73.574203,26,,
T,31/12/2017 21:57,45.515839,-73.573982,24,,
T,31/12/2017 21:57,45.515778,-73.573906,22,,
T,31/12/2017 21:57,45.515739,-73.57386,21,,
T,31/12/2017 21:58,45.515789,-73.57386,22,,
T,31/12/2017 21:59,45.515827,-73.573822,19,,
T,31/12/2017 22:00,45.515785,-73.573853,17,,
T,31/12/2017 22:00,45.515739,-73.573738,21,,
T,31/12/2017 22:00,45.515648,-73.573479,18,,
T,31/12/2017 22:00,45.515511,-73.573235,20,,
T,31/12/2017 22:00,45.515362,-73.572968,19,,
T,31/12/2017 22:00,45.515263,-73.572746,19,,
T,31/12/2017 22:00,45.515121,-73.572472,21,,
T,31/12/2017 22:00,45.515018,-73.572235,22,,
T,31/12/2017 22:01,45.514938,-73.572029,22,,
T,31/12/2017 22:01,45.514912,-73.57196,23,,
T,31/12/2017 22:01,45.514866,-73.571877,25,,
T,31/12/2017 22:01,45.514786,-73.571709,27,,
T,31/12/2017 22:01,45.514709,-73.57151,26,,
T,31/12/2017 22:01,45.514557,-73.571205,23,,
T,31/12/2017 22:01,45.5144,-73.570869,21,,
T,31/12/2017 22:01,45.514244,-73.570534,23,,
T,31/12/2017 22:01,45.514133,-73.570274,27,,
T,31/12/2017 22:01,45.513985,-73.569946,28,,
T,31/12/2017 22:01,45.513882,-73.569717,30,,
T,31/12/2017 22:01,45.513748,-73.569473,28,,
T,31/12/2017 22:01,45.513638,-73.569267,25,,
T,31/12/2017 22:02,45.513706,-73.569221,24,,
T,31/12/2017 22:02,45.513699,-73.569,15,,
T,31/12/2017 22:02,45.513958,-73.56871,12,,
T,31/12/2017 22:03,45.514233,-73.568619,11,,
T,31/12/2017 22:03,45.514427,-73.568573,11,,
T,31/12/2017 22:03,45.514603,-73.568512,12,,
T,31/12/2017 22:03,45.514919,-73.568344,11,,
T,31/12/2017 22:04,45.515247,-73.56823,7,,
T,31/12/2017 22:04,45.515591,-73.5681,8,,
T,31/12/2017 22:04,45.515682,-73.568024,10,,
T,31/12/2017 22:04,45.515686,-73.568108,26,,
T,31/12/2017 22:04,45.51572,-73.568161,31,,
T,31/12/2017 22:04,45.516136,-73.56797,25,,
T,31/12/2017 22:04,45.516518,-73.567749,24,,
T,31/12/2017 22:05,45.516861,-73.567558,25,,
T,31/12/2017 22:05,45.5173,-73.567337,25,,
T,31/12/2017 22:05,45.517601,-73.567207,25,,
T,31/12/2017 22:05,45.517792,-73.567123,23,,
T,31/12/2017 22:05,45.517857,-73.567039,18,,
T,31/12/2017 22:05,45.517902,-73.566994,13,,
T,31/12/2017 22:05,45.518093,-73.566872,10,,
T,31/12/2017 22:05,45.518417,-73.566711,7,,
T,31/12/2017 22:05,45.518593,-73.566559,9,,
T,31/12/2017 22:05,45.518677,-73.566498,10,,
T,31/12/2017 22:05,45.518768,-73.566513,9,,
T,31/12/2017 22:05,45.519001,-73.566475,12,,
T,31/12/2017 22:05,45.519375,-73.56633,12,,
T,31/12/2017 22:05,45.519642,-73.566208,12,,
T,31/12/2017 22:05,45.51997,-73.566071,13,,
T,31/12/2017 22:06,45.52047,-73.565842,13,,
T,31/12/2017 22:06,45.520954,-73.565666,13,,
T,31/12/2017 22:06,45.521511,-73.565598,11,,
T,31/12/2017 22:06,45.521996,-73.565544,10,,
T,31/12/2017 22:06,45.522301,-73.565521,11,,
T,31/12/2017 22:06,45.522411,-73.565491,12,,
T,31/12/2017 22:06,45.522453,-73.565521,12,,
T,31/12/2017 22:06,45.522522,-73.565506,14,,
T,31/12/2017 22:06,45.522747,-73.565483,15,,
T,31/12/2017 22:06,45.523186,-73.565331,12,,
T,31/12/2017 22:06,45.52354,-73.565247,13,,
T,31/12/2017 22:07,45.523994,-73.565109,12,,
T,31/12/2017 22:07,45.524315,-73.565025,14,,
T,31/12/2017 22:07,45.524784,-73.564888,17,,
T,31/12/2017 22:07,45.525066,-73.564796,19,,
T,31/12/2017 22:07,45.525238,-73.564735,19,,
T,31/12/2017 22:07,45.525486,-73.564629,14,,
T,31/12/2017 22:07,45.525787,-73.564552,15,,
T,31/12/2017 22:07,45.526222,-73.56443,14,,
T,31/12/2017 22:08,45.526535,-73.564285,14,,
T,31/12/2017 22:08,45.526867,-73.564217,12,,
T,31/12/2017 22:08,45.527195,-73.564117,11,,
T,31/12/2017 22:08,45.527462,-73.564011,9,,
T,31/12/2017 22:08,45.527676,-73.563927,9,,
T,31/12/2017 22:08,45.527802,-73.563774,9,,
T,31/12/2017 22:08,45.52766,-73.563385,11,,
T,31/12/2017 22:08,45.52755,-73.563019,10,,
T,31/12/2017 22:08,45.527428,-73.562729,7,,
T,31/12/2017 22:08,45.527309,-73.562508,6,,
T,31/12/2017 22:08,45.527256,-73.562332,4,,
T,31/12/2017 22:08,45.52721,-73.562271,2,,
T,31/12/2017 22:08,45.527176,-73.562202,4,,
T,31/12/2017 22:08,45.52713,-73.562096,5,,
T,31/12/2017 22:08,45.527042,-73.561913,4,,
T,31/12/2017 22:08,45.526943,-73.561676,5,,
T,31/12/2017 22:09,45.52684,-73.561386,-3,,
T,31/12/2017 22:09,45.526711,-73.561142,-4,,
T,31/12/2017 22:09,45.526669,-73.561043,-6,,
T,31/12/2017 22:09,45.526634,-73.560883,-1,,
T,31/12/2017 22:09,45.526508,-73.560608,-3,,
T,31/12/2017 22:09,45.526424,-73.560425,-1,,
T,31/12/2017 22:09,45.526291,-73.560158,0,,
T,31/12/2017 22:09,45.526161,-73.559891,-2,,
T,31/12/2017 22:09,45.526009,-73.559563,-3,,
