,time,lat,long,
T,30/12/2017 20:16,45.504932,-73.556717,4
T,30/12/2017 20:16,45.504959,-73.556664,11
T,30/12/2017 20:16,45.504894,-73.556648,13
T,30/12/2017 20:16,45.504826,-73.556511,16
T,30/12/2017 20:16,45.504776,-73.556396,19
T,30/12/2017 20:16,45.504742,-73.556313,19
T,30/12/2017 20:16,45.50478,-73.556259,23
T,30/12/2017 20:16,45.50478,-73.55619,24
T,30/12/2017 20:16,45.504711,-73.55603,28
T,30/12/2017 20:16,45.504704,-73.555878,21
T,30/12/2017 20:16,45.504787,-73.555832,19
T,30/12/2017 20:17,45.504745,-73.555763,10
T,30/12/2017 20:17,45.504684,-73.555656,10
T,30/12/2017 20:17,45.504601,-73.555565,13
T,30/12/2017 20:17,45.504517,-73.555496,18
T,30/12/2017 20:17,45.504444,-73.555351,19
T,30/12/2017 20:17,45.50444,-73.555237,20
T,30/12/2017 20:17,45.50444,-73.555161,22
T,30/12/2017 20:17,45.504459,-73.555084,22
T,30/12/2017 20:17,45.504456,-73.554977,23
T,30/12/2017 20:17,45.504478,-73.554901,21
T,30/12/2017 20:17,45.504475,-73.554771,19
T,30/12/2017 20:17,45.504459,-73.554703,16
T,30/12/2017 20:17,45.504429,-73.554626,12
T,30/12/2017 20:17,45.504372,-73.554619,10
T,30/12/2017 20:17,45.50433,-73.554596,-1
T,30/12/2017 20:17,45.504284,-73.554558,0
T,30/12/2017 20:18,45.504063,-73.554642,-6
T,30/12/2017 20:18,45.503933,-73.554657,-7
T,30/12/2017 20:18,45.503761,-73.554703,-9
T,30/12/2017 20:18,45.503632,-73.554771,-9
T,30/12/2017 20:18,45.503536,-73.554848,-9
T,30/12/2017 20:18,45.503448,-73.554886,-5
T,30/12/2017 20:18,45.503365,-73.554924,-3
T,30/12/2017 20:18,45.503246,-73.554581,-4
T,30/12/2017 20:18,45.503193,-73.55439,-4
T,30/12/2017 20:18,45.503101,-73.554298,-11
T,30/12/2017 20:18,45.503052,-73.554253,-13
T,30/12/2017 20:18,45.502949,-73.554306,-13
T,30/12/2017 20:18,45.502834,-73.554405,-13
T,30/12/2017 20:18,45.50272,-73.554497,-13
T,30/12/2017 20:18,45.502575,-73.554596,-13
T,30/12/2017 20:19,45.502502,-73.554657,-13
T,30/12/2017 20:19,45.502506,-73.55481,-10
T,30/12/2017 20:19,45.502625,-73.554939,-11
T,30/12/2017 20:19,45.502705,-73.555084,-11
T,30/12/2017 20:19,45.502758,-73.555191,-12
T,30/12/2017 20:19,45.502804,-73.555321,-12
T,30/12/2017 20:19,45.502869,-73.555511,-10
T,30/12/2017 20:19,45.502975,-73.555664,-8
T,30/12/2017 20:19,45.503052,-73.555763,-8
T,30/12/2017 20:19,45.503151,-73.555923,-8
T,30/12/2017 20:19,45.503242,-73.556099,-9
T,30/12/2017 20:19,45.503365,-73.556343,-8
T,30/12/2017 20:19,45.503468,-73.55658,-7
T,30/12/2017 20:19,45.503517,-73.556709,-7
T,30/12/2017 20:19,45.503593,-73.556908,-7
T,30/12/2017 20:19,45.503601,-73.557114,-6
T,30/12/2017 20:20,45.503738,-73.557228,-5
T,30/12/2017 20:20,45.503819,-73.55732,-3
T,30/12/2017 20:20,45.503868,-73.557297,-2
T,30/12/2017 20:20,45.503819,-73.557388,-1
T,30/12/2017 20:20,45.503895,-73.557526,-4
T,30/12/2017 20:20,45.504051,-73.557739,-5
T,30/12/2017 20:20,45.504131,-73.557869,-4
T,30/12/2017 20:20,45.504284,-73.557938,-3
T,30/12/2017 20:20,45.504414,-73.557953,-5
T,30/12/2017 20:20,45.504364,-73.55806,-8
T,30/12/2017 20:20,45.504353,-73.558128,-8
T,30/12/2017 20:20,45.50428,-73.558281,-8
T,30/12/2017 20:20,45.50412,-73.558357,-7
T,30/12/2017 20:20,45.503922,-73.558479,-7
T,30/12/2017 20:21,45.503696,-73.558525,-6
T,30/12/2017 20:21,45.503536,-73.558701,-6
T,30/12/2017 20:21,45.503487,-73.558777,-2
T,30/12/2017 20:21,45.503441,-73.558746,-3
T,30/12/2017 20:24,45.503304,-73.558868,17
T,30/12/2017 20:24,45.503124,-73.55896,17
T,30/12/2017 20:24,45.50304,-73.559036,18
T,30/12/2017 20:24,45.50301,-73.559105,21
T,30/12/2017 20:24,45.502983,-73.559166,25
T,30/12/2017 20:24,45.502857,-73.559204,23
T,30/12/2017 20:24,45.502769,-73.559196,18
T,30/12/2017 20:24,45.502644,-73.559044,18
T,30/12/2017 20:24,45.502541,-73.559006,26
T,30/12/2017 20:24,45.502502,-73.558876,20
T,30/12/2017 20:25,45.502487,-73.558769,5
T,30/12/2017 20:25,45.502506,-73.558647,4
T,30/12/2017 20:25,45.50301,-73.558311,-9
T,30/12/2017 20:25,45.503223,-73.558014,-8
T,30/12/2017 20:25,45.503418,-73.557892,-8
T,30/12/2017 20:25,45.503628,-73.557762,-4
T,30/12/2017 20:25,45.50367,-73.557701,-5
T,30/12/2017 20:26,45.503761,-73.55761,-2
T,30/12/2017 20:26,45.503849,-73.557556,-2
T,30/12/2017 20:26,45.503941,-73.557571,-1
T,30/12/2017 20:26,45.504028,-73.557701,-1
T,30/12/2017 20:26,45.504196,-73.557869,-2
T,30/12/2017 20:26,45.504307,-73.557945,-2
T,30/12/2017 20:26,45.504318,-73.557869,8
T,30/12/2017 20:26,45.504364,-73.558037,8
T,30/12/2017 20:27,45.504417,-73.558212,6
T,30/12/2017 20:27,45.504555,-73.558502,5
T,30/12/2017 20:27,45.504696,-73.558708,0
T,30/12/2017 20:27,45.504826,-73.558884,0
T,30/12/2017 20:27,45.504856,-73.558945,0
T,30/12/2017 20:27,45.50478,-73.558975,2
T,30/12/2017 20:27,45.504715,-73.559052,5
T,30/12/2017 20:28,45.504688,-73.559113,2
T,30/12/2017 20:28,45.504711,-73.559174,2
T,30/12/2017 20:28,45.504818,-73.55912,2
T,30/12/2017 20:28,45.504936,-73.559013,6
T,30/12/2017 20:28,45.505093,-73.558922,10
T,30/12/2017 20:28,45.505199,-73.558792,12
T,30/12/2017 20:28,45.505295,-73.55867,14
T,30/12/2017 20:28,45.505257,-73.558601,18
T,30/12/2017 20:28,45.505314,-73.55854,26
T,30/12/2017 20:28,45.505577,-73.558342,22
T,30/12/2017 20:28,45.505917,-73.558121,15
T,30/12/2017 20:28,45.506123,-73.55793,12
T,30/12/2017 20:28,45.506283,-73.557785,14
T,30/12/2017 20:29,45.506451,-73.557663,13
T,30/12/2017 20:29,45.506535,-73.557549,4
T,30/12/2017 20:29,45.506611,-73.557449,4
T,30/12/2017 20:29,45.506649,-73.557381,2
T,30/12/2017 20:29,45.506626,-73.557312,2
T,30/12/2017 20:29,45.506641,-73.557243,-1
T,30/12/2017 20:29,45.506668,-73.55719,-2
T,30/12/2017 20:29,45.506828,-73.557121,-4
T,30/12/2017 20:29,45.507034,-73.557037,-4
T,30/12/2017 20:29,45.507378,-73.556831,-4
T,30/12/2017 20:29,45.508324,-73.556267,-2
T,30/12/2017 20:29,45.508595,-73.556152,-4
T,30/12/2017 20:30,45.508808,-73.556175,-7
T,30/12/2017 20:30,45.50898,-73.556335,-5
T,30/12/2017 20:30,45.509129,-73.556732,-10
T,30/12/2017 20:30,45.50919,-73.557068,-11
T,30/12/2017 20:30,45.509083,-73.557228,-11
T,30/12/2017 20:30,45.508804,-73.557411,-14
T,30/12/2017 20:30,45.506031,-73.55954,-9999
T,30/12/2017 20:31,45.506462,-73.558983,-9999
T,30/12/2017 20:32,45.50602,-73.560081,-9999
T,30/12/2017 20:32,45.50602,-73.560081,-9999
T,30/12/2017 20:32,45.50602,-73.560081,-9999
T,30/12/2017 20:37,45.489838,-73.574516,-8
T,30/12/2017 20:37,45.489777,-73.574493,-13
T,30/12/2017 20:38,45.489838,-73.574448,-20
T,30/12/2017 20:38,45.489902,-73.574387,-19
T,30/12/2017 20:38,45.489964,-73.57431,-17
T,30/12/2017 20:38,45.490013,-73.574249,-19
T,30/12/2017 20:38,45.490051,-73.574188,-20
