,time,lat,long,
T,30/12/2017 20:38,45.490059,-73.574081,-19
T,30/12/2017 20:38,45.489937,-73.573784,-15
T,30/12/2017 20:39,45.489761,-73.573395,-16
T,30/12/2017 20:39,45.489632,-73.573105,-16
T,30/12/2017 20:39,45.489513,-73.57283,-15
T,30/12/2017 20:39,45.489368,-73.572533,-18
T,30/12/2017 20:39,45.489319,-73.572426,-18
T,30/12/2017 20:39,45.489292,-73.572357,-17
T,30/12/2017 20:39,45.489262,-73.572258,-17
T,30/12/2017 20:39,45.489223,-73.572205,-17
T,30/12/2017 20:39,45.489227,-73.57206,-14
T,30/12/2017 20:39,45.489464,-73.5718,-15
T,30/12/2017 20:40,45.490059,-73.571213,-16
T,30/12/2017 20:40,45.490376,-73.570892,-16
T,30/12/2017 20:40,45.490616,-73.570625,-17
T,30/12/2017 20:40,45.490852,-73.570419,-19
T,30/12/2017 20:40,45.491089,-73.570213,-21
T,30/12/2017 20:40,45.491158,-73.570137,-24
T,30/12/2017 20:40,45.491226,-73.570045,-24
T,30/12/2017 20:40,45.491364,-73.569817,-26
T,30/12/2017 20:40,45.491299,-73.56955,-25
T,30/12/2017 20:40,45.491138,-73.569206,-24
T,30/12/2017 20:40,45.490925,-73.568756,-24
T,30/12/2017 20:40,45.490322,-73.567581,-19
T,30/12/2017 20:41,45.490227,-73.567383,-19
T,30/12/2017 20:41,45.490189,-73.567291,-17
T,30/12/2017 20:41,45.490173,-73.567162,-12
T,30/12/2017 20:41,45.490379,-73.566956,-11
T,30/12/2017 20:42,45.490726,-73.56665,-11
T,30/12/2017 20:42,45.491325,-73.566093,-12
T,30/12/2017 20:42,45.491573,-73.565887,-10
T,30/12/2017 20:42,45.492214,-73.565308,-15
T,30/12/2017 20:42,45.492493,-73.565102,-13
T,30/12/2017 20:42,45.492641,-73.564957,-13
T,30/12/2017 20:42,45.492748,-73.564857,-13
T,30/12/2017 20:42,45.492813,-73.564819,-10
T,30/12/2017 20:43,45.492874,-73.564751,-4
T,30/12/2017 20:43,45.493111,-73.564552,-4
T,30/12/2017 20:43,45.493324,-73.564384,-1
T,30/12/2017 20:43,45.49361,-73.564186,-2
T,30/12/2017 20:43,45.493752,-73.564064,-3
T,30/12/2017 20:43,45.493961,-73.563835,-2
T,30/12/2017 20:43,45.494339,-73.563629,-8
T,30/12/2017 20:43,45.494659,-73.563385,-8
T,30/12/2017 20:43,45.494949,-73.563217,-4
T,30/12/2017 20:43,45.495209,-73.56311,-5
T,30/12/2017 20:43,45.496853,-73.56218,-13
T,30/12/2017 20:44,45.49696,-73.56208,-19
T,30/12/2017 20:44,45.497105,-73.562012,-19
T,30/12/2017 20:44,45.497402,-73.561882,-19
T,30/12/2017 20:44,45.497627,-73.56176,-19
T,30/12/2017 20:44,45.498009,-73.561546,-19
T,30/12/2017 20:44,45.49828,-73.561401,-17
T,30/12/2017 20:44,45.498508,-73.561264,-17
T,30/12/2017 20:44,45.498875,-73.561043,-18
T,30/12/2017 20:44,45.499222,-73.560822,-17
T,30/12/2017 20:45,45.499527,-73.560593,-16
T,30/12/2017 20:45,45.499886,-73.560356,-16
T,30/12/2017 20:45,45.500076,-73.560219,-16
T,30/12/2017 20:45,45.500401,-73.559998,-13
T,30/12/2017 20:45,45.500546,-73.559891,-11
T,30/12/2017 20:45,45.500774,-73.55983,-9
T,30/12/2017 20:45,45.500835,-73.559692,-7
T,30/12/2017 20:45,45.500778,-73.559792,-6
T,30/12/2017 20:45,45.500759,-73.559868,-3
T,30/12/2017 20:45,45.500896,-73.559799,1
T,30/12/2017 20:45,45.501148,-73.559608,2
T,30/12/2017 20:45,45.501442,-73.559471,-2
T,30/12/2017 20:45,45.501755,-73.559288,0
T,30/12/2017 20:46,45.501862,-73.559135,-3
T,30/12/2017 20:46,45.502064,-73.559006,0
T,30/12/2017 20:46,45.502361,-73.558838,0
T,30/12/2017 20:46,45.50251,-73.558632,-1
T,30/12/2017 20:46,45.502712,-73.558487,-3
T,30/12/2017 20:46,45.50296,-73.558342,-5
T,30/12/2017 20:46,45.503082,-73.558159,-6
T,30/12/2017 20:46,45.503208,-73.558022,-6
T,30/12/2017 20:46,45.503342,-73.557907,-6
T,30/12/2017 20:46,45.503513,-73.557785,-8
T,30/12/2017 20:46,45.503647,-73.557663,-6
T,30/12/2017 20:46,45.503792,-73.557564,-4
T,30/12/2017 20:46,45.503895,-73.557541,-5
T,30/12/2017 20:46,45.503941,-73.55748,-3
T,30/12/2017 20:47,45.503983,-73.557404,-3
T,30/12/2017 20:47,45.504055,-73.557335,-3
T,30/12/2017 20:47,45.504097,-73.557327,-2
T,30/12/2017 20:47,45.504143,-73.557343,3
T,30/12/2017 20:47,45.504181,-73.557259,6
T,30/12/2017 20:47,45.504257,-73.557266,13
T,30/12/2017 20:48,45.504292,-73.557205,15
T,30/12/2017 20:48,45.504311,-73.557144,6
T,30/12/2017 20:48,45.504303,-73.557076,1
T,30/12/2017 20:49,45.504368,-73.557022,-6
T,30/12/2017 20:49,45.504444,-73.556992,-6
T,30/12/2017 20:50,45.50452,-73.556946,-3
T,30/12/2017 20:50,45.504646,-73.556847,-3
T,30/12/2017 20:50,45.504696,-73.556824,0
T,30/12/2017 20:52,45.50481,-73.556747,10
T,30/12/2017 20:53,45.504887,-73.556679,8
T,30/12/2017 20:53,45.504951,-73.556656,11
T,30/12/2017 20:53,45.504997,-73.556717,19
T,30/12/2017 20:53,45.505024,-73.556786,13
T,30/12/2017 20:53,45.505096,-73.556747,6
T,30/12/2017 20:53,45.50523,-73.556625,7
T,30/12/2017 20:53,45.505367,-73.556503,8
T,30/12/2017 20:53,45.505436,-73.556442,9
T,30/12/2017 20:53,45.50547,-73.55632,4
T,30/12/2017 20:54,45.505482,-73.556252,7
T,30/12/2017 20:54,45.505531,-73.556206,7
T,30/12/2017 20:54,45.505608,-73.556175,13
T,30/12/2017 20:54,45.505676,-73.556152,13
T,30/12/2017 20:54,45.505779,-73.556061,13
T,30/12/2017 20:54,45.505894,-73.555969,13
T,30/12/2017 20:54,45.505928,-73.555923,15
T,30/12/2017 20:55,45.505981,-73.55587,17
T,30/12/2017 20:55,45.506081,-73.555832,11
T,30/12/2017 20:55,45.506126,-73.55571,7
T,30/12/2017 20:55,45.505989,-73.555328,5
T,30/12/2017 20:55,45.505844,-73.554878,6
T,30/12/2017 20:56,45.505753,-73.554306,0
T,30/12/2017 20:56,45.505646,-73.55407,-2
T,30/12/2017 20:56,45.505653,-73.553993,-4
T,30/12/2017 20:56,45.505581,-73.553917,-8
T,30/12/2017 20:56,45.505478,-73.553596,-13
T,30/12/2017 20:56,45.505428,-73.553413,-14
T,30/12/2017 20:56,45.505421,-73.553337,-14
T,30/12/2017 20:56,45.505371,-73.553268,-15
T,30/12/2017 20:56,45.505253,-73.553284,-15
T,30/12/2017 20:56,45.505001,-73.55336,-14
T,30/12/2017 20:56,45.504784,-73.553436,-11
T,30/12/2017 20:56,45.504551,-73.55352,-11
T,30/12/2017 20:57,45.504208,-73.553642,-10
T,30/12/2017 20:57,45.503937,-73.553734,-12
T,30/12/2017 20:57,45.503639,-73.553864,-14
T,30/12/2017 20:57,45.503479,-73.553925,-13
T,30/12/2017 20:57,45.503323,-73.554008,-14
T,30/12/2017 20:57,45.503197,-73.554115,-14
T,30/12/2017 20:57,45.503044,-73.55423,-14
T,30/12/2017 20:57,45.503006,-73.554283,-13
T,30/12/2017 20:57,45.502861,-73.554443,-6
T,30/12/2017 20:57,45.502666,-73.554611,-8
T,30/12/2017 20:57,45.502583,-73.554688,-5
T,30/12/2017 20:57,45.502449,-73.554802,-3
T,30/12/2017 20:57,45.502304,-73.554916,-4
T,30/12/2017 20:57,45.502121,-73.555038,-4
T,30/12/2017 20:57,45.502026,-73.555084,-2
T,30/12/2017 20:57,45.501877,-73.555199,-3
T,30/12/2017 20:57,45.501575,-73.555344,-4
T,30/12/2017 20:57,45.501297,-73.555534,-5
T,30/12/2017 20:58,45.501144,-73.555641,-3
T,30/12/2017 20:58,45.50106,-73.555725,-4
T,30/12/2017 20:58,45.500927,-73.555809,-4
T,30/12/2017 20:58,45.500774,-73.555946,-5
T,30/12/2017 20:58,45.500648,-73.556099,-5
T,30/12/2017 20:58,45.500507,-73.556206,-4
T,30/12/2017 20:58,45.500351,-73.556343,-5
T,30/12/2017 20:58,45.500206,-73.556488,-4
T,30/12/2017 20:58,45.500107,-73.556541,-4
T,30/12/2017 20:58,45.500061,-73.556625,-4
T,30/12/2017 20:58,45.500092,-73.556816,-4
T,30/12/2017 20:58,45.500237,-73.557213,-5
T,30/12/2017 20:58,45.500347,-73.557556,-6
T,30/12/2017 20:58,45.500507,-73.557877,-7
T,30/12/2017 20:58,45.500465,-73.558189,-6
T,30/12/2017 20:58,45.500484,-73.55825,0
T,30/12/2017 20:59,45.500561,-73.558464,6
T,30/12/2017 20:59,45.500656,-73.558739,6
T,30/12/2017 20:59,45.500809,-73.559235,4
T,30/12/2017 20:59,45.500916,-73.559486,3
T,30/12/2017 20:59,45.501007,-73.559608,3
T,30/12/2017 20:59,45.501072,-73.559601,7
T,30/12/2017 20:59,45.501377,-73.559334,7
T,30/12/2017 20:59,45.501286,-73.559433,-1
T,30/12/2017 20:59,45.501396,-73.55941,-6
T,30/12/2017 20:59,45.501415,-73.559273,-12
