type,time,latitude,longitude,altitude (m),name,desc
T,31/12/2017 20:38,45.495962,-73.609084,131.4,,
T,31/12/2017 20:38,45.495938,-73.609813,129.4,,
T,31/12/2017 20:38,45.495833,-73.610444,129.4,,
T,31/12/2017 20:38,45.495689,-73.611349,128.4,,
T,31/12/2017 20:38,45.495535,-73.612231,127.4,,
T,31/12/2017 20:39,45.495443,-73.613113,124.4,,
T,31/12/2017 20:39,45.495439,-73.613745,121.4,,
T,31/12/2017 20:39,45.495424,-73.61446,121.4,,
T,31/12/2017 20:39,45.49545,-73.614766,120.5,,
T,31/12/2017 20:39,45.495451,-73.614884,120.5,,
T,31/12/2017 20:39,45.495482,-73.615069,119.5,,
T,31/12/2017 20:39,45.495656,-73.615563,118.5,,
T,31/12/2017 20:39,45.495932,-73.616082,117.5,,
T,31/12/2017 20:39,45.49619,-73.6166,117.5,,
T,31/12/2017 20:39,45.496403,-73.617071,115.5,,
T,31/12/2017 20:39,45.496515,-73.617274,115.5,,
T,31/12/2017 20:39,45.496689,-73.617612,116.5,,
T,31/12/2017 20:39,45.496891,-73.61803,114.5,,
T,31/12/2017 20:40,45.497134,-73.618533,113.5,,
T,31/12/2017 20:40,45.497433,-73.619102,113.5,,
T,31/12/2017 20:40,45.49766,-73.61954,113.5,,
T,31/12/2017 20:40,45.497995,-73.620152,112.5,,
T,31/12/2017 20:40,45.49827,-73.620626,111.5,,
T,31/12/2017 20:40,45.498609,-73.621202,112.5,,
T,31/12/2017 20:40,45.498929,-73.621802,113.5,,
T,31/12/2017 20:40,45.499202,-73.622272,113.5,,
T,31/12/2017 20:41,45.499253,-73.622374,114.5,,
T,31/12/2017 20:41,45.499426,-73.622776,114.5,,
T,31/12/2017 20:41,45.499698,-73.623371,111.5,,
T,31/12/2017 20:41,45.499929,-73.6239,110.5,,
T,31/12/2017 20:41,45.500209,-73.624531,106.5,,
T,31/12/2017 20:41,45.500397,-73.624957,107.5,,
T,31/12/2017 20:41,45.500488,-73.625228,106.5,,
T,31/12/2017 20:41,45.500655,-73.625467,103.5,,
T,31/12/2017 20:41,45.500829,-73.625531,108.5,,
T,31/12/2017 20:41,45.501085,-73.625263,106.5,,
T,31/12/2017 20:41,45.501466,-73.624895,104.5,,
T,31/12/2017 20:41,45.5018,-73.624623,108.5,,
T,31/12/2017 20:42,45.502255,-73.624186,107.5,,
T,31/12/2017 20:42,45.502614,-73.623852,105.5,,
T,31/12/2017 20:42,45.503182,-73.623419,104.5,,
T,31/12/2017 20:42,45.50359,-73.623046,105.5,,
T,31/12/2017 20:42,45.503903,-73.622726,102.5,,
T,31/12/2017 20:42,45.503971,-73.622656,102.5,,
T,31/12/2017 20:42,45.504138,-73.622899,102.5,,
T,31/12/2017 20:42,45.504278,-73.623184,103.5,,
T,31/12/2017 20:44,45.504193,-73.623156,101.5,,
T,31/12/2017 20:44,45.504095,-73.62297,101.5,,
T,31/12/2017 20:45,45.504072,-73.622865,100.5,,
T,31/12/2017 20:45,45.503954,-73.62278,103.5,,
T,31/12/2017 20:45,45.50372,-73.622949,104.5,,
T,31/12/2017 20:45,45.50344,-73.623307,107.5,,
T,31/12/2017 20:45,45.503112,-73.6235,107.5,,
T,31/12/2017 20:45,45.502869,-73.623772,110.5,,
T,31/12/2017 20:45,45.502593,-73.623977,111.5,,
T,31/12/2017 20:45,45.502266,-73.624239,114.5,,
T,31/12/2017 20:45,45.502016,-73.624434,112.5,,
T,31/12/2017 20:45,45.501812,-73.62461,112.5,,
T,31/12/2017 20:46,45.501617,-73.624786,112.5,,
T,31/12/2017 20:46,45.501393,-73.624983,110.5,,
T,31/12/2017 20:46,45.501198,-73.625155,107.5,,
T,31/12/2017 20:46,45.501046,-73.625283,105.5,,
T,31/12/2017 20:46,45.500981,-73.625326,103.5,,
T,31/12/2017 20:46,45.500773,-73.62552,103.5,,
T,31/12/2017 20:46,45.500589,-73.625455,101.5,,
T,31/12/2017 20:46,45.500402,-73.625088,104.5,,
T,31/12/2017 20:46,45.500183,-73.624558,102.5,,
T,31/12/2017 20:46,45.499969,-73.624114,104.5,,
T,31/12/2017 20:46,45.499747,-73.623635,106.5,,
T,31/12/2017 20:46,45.499452,-73.623015,108.5,,
T,31/12/2017 20:46,45.499238,-73.622541,108.5,,
T,31/12/2017 20:46,45.499067,-73.622114,107.5,,
T,31/12/2017 20:47,45.498891,-73.621782,108.5,,
T,31/12/2017 20:47,45.498621,-73.621298,109.5,,
T,31/12/2017 20:47,45.498352,-73.620805,112.5,,
T,31/12/2017 20:47,45.498127,-73.62045,111.5,,
T,31/12/2017 20:47,45.497996,-73.62021,110.5,,
T,31/12/2017 20:47,45.497962,-73.62013,113.5,,
T,31/12/2017 20:47,45.497865,-73.619943,113.5,,
T,31/12/2017 20:47,45.497667,-73.619567,113.5,,
T,31/12/2017 20:47,45.497371,-73.618964,114.5,,
T,31/12/2017 20:47,45.49712,-73.618486,113.5,,
T,31/12/2017 20:48,45.496836,-73.617927,115.5,,
T,31/12/2017 20:48,45.496628,-73.617522,116.5,,
T,31/12/2017 20:48,45.496383,-73.617037,115.5,,
T,31/12/2017 20:48,45.496032,-73.616408,116.5,,
T,31/12/2017 20:48,45.495681,-73.615912,116.5,,
T,31/12/2017 20:48,45.495445,-73.615707,117.5,,
T,31/12/2017 20:48,45.495331,-73.615282,119.5,,
T,31/12/2017 20:48,45.495326,-73.614545,118.4,,
T,31/12/2017 20:48,45.495362,-73.614064,119.4,,
T,31/12/2017 20:48,45.495333,-73.613617,122.4,,
T,31/12/2017 20:48,45.495346,-73.612965,124.4,,
T,31/12/2017 20:48,45.495426,-73.612218,126.4,,
T,31/12/2017 20:48,45.495534,-73.611534,131.4,,
T,31/12/2017 20:48,45.495606,-73.611008,133.4,,
T,31/12/2017 20:49,45.495726,-73.610475,133.4,,
T,31/12/2017 20:49,45.495875,-73.609795,133.4,,
T,31/12/2017 20:49,45.495947,-73.609249,133.4,,
T,31/12/2017 20:49,45.495954,-73.608953,135.4,,
T,31/12/2017 20:50,45.495917,-73.608874,134.4,,
T,31/12/2017 20:50,45.496005,-73.608708,135.4,,
T,31/12/2017 20:50,45.496144,-73.608674,135.4,,
T,31/12/2017 20:51,45.496292,-73.608654,134.4,,
T,31/12/2017 20:51,45.496486,-73.608627,132.4,,
T,31/12/2017 20:51,45.496592,-73.608554,132.4,,
T,31/12/2017 20:51,45.496712,-73.608414,130.4,,
T,31/12/2017 20:51,45.496844,-73.60835,131.4,,
T,31/12/2017 20:51,45.496964,-73.608326,133.4,,
T,31/12/2017 20:51,45.497112,-73.60834,131.4,,
