,time,lat,long,
T,30/12/2017 21:02,45.501504,-73.559205,19
T,30/12/2017 21:03,45.501873,-73.558922,19
T,30/12/2017 21:03,45.502472,-73.55848,22
T,30/12/2017 21:03,45.50288,-73.55818,25
T,30/12/2017 21:03,45.503437,-73.557768,19
T,30/12/2017 21:04,45.503839,-73.557472,23
T,30/12/2017 21:04,45.504161,-73.557239,27
T,30/12/2017 21:04,45.50433,-73.557117,29
T,30/12/2017 21:04,45.504544,-73.557337,30
T,30/12/2017 21:05,45.50465,-73.557607,29
T,30/12/2017 21:07,45.504632,-73.557865,32
T,30/12/2017 21:07,45.504342,-73.558102,40
T,30/12/2017 21:07,45.503792,-73.558515,39
T,30/12/2017 21:07,45.503297,-73.558733,41
T,30/12/2017 21:07,45.503079,-73.558259,35
T,30/12/2017 21:08,45.502901,-73.55792,31
T,30/12/2017 21:08,45.502871,-73.557459,30
T,30/12/2017 21:08,45.502474,-73.55719,29
T,30/12/2017 21:09,45.502436,-73.556814,25
T,30/12/2017 21:09,45.502804,-73.556411,24
T,30/12/2017 21:09,45.502689,-73.556079,22
T,30/12/2017 21:09,45.503055,-73.556124,23
T,30/12/2017 21:10,45.503287,-73.556253,23
T,30/12/2017 21:10,45.503697,-73.557025,25
T,30/12/2017 21:10,45.503877,-73.557372,23
T,30/12/2017 21:11,45.504312,-73.55713,27
T,30/12/2017 21:11,45.50466,-73.55688,28
T,30/12/2017 21:11,45.504856,-73.55674,29
T,30/12/2017 21:12,45.504873,-73.556436,31
T,30/12/2017 21:12,45.504721,-73.555922,37
T,30/12/2017 21:12,45.504609,-73.555503,39
T,30/12/2017 21:12,45.504444,-73.554889,37
T,30/12/2017 21:13,45.504372,-73.554623,25
T,30/12/2017 21:13,45.504268,-73.554197,22
T,30/12/2017 21:13,45.504165,-73.553726,18
T,30/12/2017 21:13,45.504949,-73.553341,15
T,30/12/2017 21:14,45.505284,-73.553202,15
T,30/12/2017 21:14,45.505427,-73.553441,12
T,30/12/2017 21:14,45.505508,-73.553673,13
T,30/12/2017 21:15,45.505598,-73.553942,14
T,30/12/2017 21:15,45.505861,-73.554443,16
T,30/12/2017 21:15,45.50602,-73.554245,16
T,30/12/2017 21:15,45.505832,-73.553711,19
T,30/12/2017 21:16,45.505612,-73.553773,14
T,30/12/2017 21:16,45.505794,-73.554538,16
T,30/12/2017 21:16,45.506024,-73.555215,18
T,30/12/2017 21:17,45.506122,-73.555506,19
T,30/12/2017 21:17,45.506515,-73.555405,24
T,30/12/2017 21:17,45.507023,-73.555006,26
T,30/12/2017 21:18,45.507537,-73.554577,24
T,30/12/2017 21:18,45.507457,-73.554114,21
T,30/12/2017 21:18,45.507287,-73.553723,20
T,30/12/2017 21:18,45.507129,-73.553338,19
T,30/12/2017 21:18,45.50702,-73.553069,19
T,30/12/2017 21:19,45.506925,-73.552838,20
T,30/12/2017 21:19,45.506632,-73.55297,21
T,30/12/2017 21:19,45.506721,-73.553302,18
T,30/12/2017 21:19,45.506819,-73.553544,17
T,30/12/2017 21:19,45.506827,-73.553815,20
