typ,time,latitude,longitude,altitude (m),name,desc
T,01/01/2018 3:00,45.481193,-73.623801,67.5,,
T,01/01/2018 3:00,45.480803,-73.622842,69.5,,
T,01/01/2018 3:00,45.480416,-73.622041,68.4,,
T,01/01/2018 3:00,45.479942,-73.621274,70.4,,
T,01/01/2018 3:00,45.479395,-73.620612,72.4,,
T,01/01/2018 3:00,45.478615,-73.619904,76.4,,
T,01/01/2018 3:00,45.477968,-73.619356,74.4,,
T,01/01/2018 3:00,45.477197,-73.618551,72.4,,
T,01/01/2018 3:00,45.476784,-73.617987,71.4,,
T,01/01/2018 3:01,45.476784,-73.617987,71.4,,
T,01/01/2018 3:01,45.474598,-73.613895,66.4,,
T,01/01/2018 3:01,45.474235,-73.613083,60.4,,
T,01/01/2018 3:01,45.473828,-73.612131,55.4,,
T,01/01/2018 3:01,45.473498,-73.611403,51.4,,
T,01/01/2018 3:01,45.473052,-73.61045,50.4,,
T,01/01/2018 3:01,45.472639,-73.609568,46.4,,
T,01/01/2018 3:01,45.472277,-73.608733,44.4,,
T,01/01/2018 3:01,45.471833,-73.607735,43.4,,
T,01/01/2018 3:01,45.471455,-73.60697,39.4,,
T,01/01/2018 3:01,45.471139,-73.606144,39.4,,
T,01/01/2018 3:01,45.470814,-73.605431,38.4,,
T,01/01/2018 3:01,45.470352,-73.604409,36.4,,
T,01/01/2018 3:01,45.469987,-73.603562,33.4,,
T,01/01/2018 3:02,45.46963,-73.602478,30.4,,
T,01/01/2018 3:02,45.4695,-73.601466,29.4,,
T,01/01/2018 3:02,45.469519,-73.60067,27.4,,
T,01/01/2018 3:02,45.469704,-73.599741,25.4,,
T,01/01/2018 3:02,45.469924,-73.599054,25.3,,
T,01/01/2018 3:02,45.470271,-73.598351,24.3,,
T,01/01/2018 3:02,45.470715,-73.597846,25.3,,
T,01/01/2018 3:02,45.471067,-73.597511,23.3,,
T,01/01/2018 3:02,45.471622,-73.596946,24.3,,
T,01/01/2018 3:02,45.472234,-73.596609,27.3,,
T,01/01/2018 3:02,45.472749,-73.596402,28.3,,
T,01/01/2018 3:02,45.473294,-73.596199,29.3,,
T,01/01/2018 3:02,45.474051,-73.595933,29.3,,
T,01/01/2018 3:03,45.474672,-73.595701,29.3,,
T,01/01/2018 3:03,45.475311,-73.595451,29.3,,
T,01/01/2018 3:03,45.476122,-73.595091,30.3,,
T,01/01/2018 3:03,45.476772,-73.594765,31.3,,
T,01/01/2018 3:03,45.477417,-73.594298,29.3,,
T,01/01/2018 3:03,45.478048,-73.59375,31.3,,
T,01/01/2018 3:03,45.478634,-73.593072,28.3,,
T,01/01/2018 3:03,45.479136,-73.592313,30.3,,
T,01/01/2018 3:03,45.479739,-73.591367,29.3,,
T,01/01/2018 3:03,45.480246,-73.590626,30.3,,
T,01/01/2018 3:03,45.480879,-73.589732,30.3,,
T,01/01/2018 3:03,45.481338,-73.589019,31.3,,
T,01/01/2018 3:03,45.481802,-73.588252,34.3,,
T,01/01/2018 3:03,45.482411,-73.587285,37.3,,
T,01/01/2018 3:04,45.482898,-73.586506,37.3,,
T,01/01/2018 3:04,45.483489,-73.585538,39.3,,
T,01/01/2018 3:04,45.483968,-73.584747,40.3,,
T,01/01/2018 3:04,45.48455,-73.583793,41.3,,
T,01/01/2018 3:04,45.484994,-73.583048,42.3,,
T,01/01/2018 3:04,45.485519,-73.58216,40.3,,
T,01/01/2018 3:04,45.486046,-73.581279,39.3,,
T,01/01/2018 3:04,45.486436,-73.580657,35.3,,
T,01/01/2018 3:04,45.486811,-73.580096,32.3,,
T,01/01/2018 3:04,45.487295,-73.579642,31.3,,
T,01/01/2018 3:04,45.487913,-73.579294,29.3,,
T,01/01/2018 3:04,45.488278,-73.578774,33.3,,
T,01/01/2018 3:04,45.488663,-73.578229,32.3,,
T,01/01/2018 3:05,45.489072,-73.577703,36.3,,
T,01/01/2018 3:05,45.489533,-73.577179,39.3,,
T,01/01/2018 3:05,45.489846,-73.576963,41.3,,
T,01/01/2018 3:05,45.490191,-73.576916,44.3,,
T,01/01/2018 3:05,45.490622,-73.577077,42.3,,
T,01/01/2018 3:05,45.490906,-73.577271,43.3,,
T,01/01/2018 3:05,45.490985,-73.577349,43.3,,
T,01/01/2018 3:06,45.491057,-73.577417,46.3,,
T,01/01/2018 3:06,45.491236,-73.577341,47.3,,
T,01/01/2018 3:06,45.491618,-73.576972,47.3,,
T,01/01/2018 3:06,45.491825,-73.576798,47.3,,
T,01/01/2018 3:06,45.49194,-73.576715,48.3,,
T,01/01/2018 3:06,45.492005,-73.576666,54.3,,
T,01/01/2018 3:06,45.49224,-73.576468,53.3,,
T,01/01/2018 3:07,45.4925,-73.576227,53.3,,
T,01/01/2018 3:07,45.492816,-73.575934,51.3,,
T,01/01/2018 3:07,45.49305,-73.575715,50.3,,
T,01/01/2018 3:07,45.49331,-73.575475,49.3,,
T,01/01/2018 3:07,45.493558,-73.575217,47.3,,
T,01/01/2018 3:08,45.493643,-73.575193,50.3,,
T,01/01/2018 3:08,45.493713,-73.575105,49.3,,
T,01/01/2018 3:08,45.493783,-73.574973,48.3,,
T,01/01/2018 3:08,45.493673,-73.574578,49.3,,
T,01/01/2018 3:08,45.493397,-73.574134,45.3,,
T,01/01/2018 3:08,45.493139,-73.573516,38.3,,
T,01/01/2018 3:08,45.492899,-73.573045,33.3,,
T,01/01/2018 3:08,45.492739,-73.572652,32.3,,
T,01/01/2018 3:08,45.492673,-73.572562,30.3,,
T,01/01/2018 3:09,45.492625,-73.572475,30.3,,
T,01/01/2018 3:09,45.492512,-73.57214,32.3,,
T,01/01/2018 3:09,45.492176,-73.571514,27.3,,
T,01/01/2018 3:09,45.491889,-73.570956,26.3,,
T,01/01/2018 3:09,45.491607,-73.570371,23.3,,
T,01/01/2018 3:09,45.491376,-73.569881,21.3,,
T,01/01/2018 3:09,45.491159,-73.569408,20.3,,
T,01/01/2018 3:09,45.490862,-73.568795,20.3,,
T,01/01/2018 3:09,45.490581,-73.568216,23.3,,
T,01/01/2018 3:09,45.49034,-73.567705,24.3,,
T,01/01/2018 3:10,45.490246,-73.567512,24.3,,
T,01/01/2018 3:10,45.490217,-73.567431,24.3,,
T,01/01/2018 3:10,45.490141,-73.567223,23.3,,
T,01/01/2018 3:10,45.490199,-73.567102,22.3,,
T,01/01/2018 3:10,45.490216,-73.566999,23.3,,
T,01/01/2018 3:10,45.490243,-73.566883,25.3,,
T,01/01/2018 3:12,45.490194,-73.566782,23.3,,
T,01/01/2018 3:13,45.490257,-73.566732,22.3,,
T,01/01/2018 3:15,45.490304,-73.566829,10.3,,
T,01/01/2018 3:15,45.49038,-73.566897,13.3,,
T,01/01/2018 3:15,45.490617,-73.566778,15.3,,
T,01/01/2018 3:16,45.490972,-73.566447,15.3,,
T,01/01/2018 3:16,45.491487,-73.565982,16.3,,
T,01/01/2018 3:16,45.491891,-73.565622,18.3,,
T,01/01/2018 3:16,45.492261,-73.565295,15.3,,
T,01/01/2018 3:16,45.492401,-73.565174,20.3,,
T,01/01/2018 3:16,45.492588,-73.564981,19.3,,
T,01/01/2018 3:16,45.492938,-73.56469,19.3,,
T,01/01/2018 3:16,45.493242,-73.564482,21.3,,
T,01/01/2018 3:16,45.49353,-73.56421,23.3,,
T,01/01/2018 3:16,45.493896,-73.563921,23.2,,
T,01/01/2018 3:16,45.494171,-73.563643,26.2,,
T,01/01/2018 3:16,45.494155,-73.563524,27.2,,
T,01/01/2018 3:16,45.494019,-73.563142,25.2,,
T,01/01/2018 3:17,45.493806,-73.562715,23.2,,
T,01/01/2018 3:17,45.493737,-73.562256,18.2,,
T,01/01/2018 3:17,45.493625,-73.562207,19.2,,
T,01/01/2018 3:17,45.493414,-73.562347,16.2,,
T,01/01/2018 3:17,45.493087,-73.562533,13.2,,
T,01/01/2018 3:17,45.493078,-73.562765,11.2,,
T,01/01/2018 3:17,45.493172,-73.562984,11.2,,
T,01/01/2018 3:17,45.493265,-73.563342,10.2,,
T,01/01/2018 3:17,45.493238,-73.563473,15.2,,
T,01/01/2018 3:17,45.493084,-73.563573,21.2,,
T,01/01/2018 3:20,45.493032,-73.563671,30.2,,
T,01/01/2018 3:27,45.493041,-73.563682,33.2,,
T,01/01/2018 3:27,45.493041,-73.563682,33.2,,
