type,time,latitude,longitude,altitude (m),name,desc
T,01/01/2018 2:08,45.509066,-73.662003,44,,
T,01/01/2018 2:08,45.510589,-73.661029,39,,
T,01/01/2018 2:08,45.512073,-73.660103,39,,
T,01/01/2018 2:08,45.513628,-73.659092,41,,
T,01/01/2018 2:08,45.515213,-73.658087,42,,
T,01/01/2018 2:09,45.516688,-73.657085,41,,
T,01/01/2018 2:09,45.518225,-73.656035,45,,
T,01/01/2018 2:09,45.519673,-73.655119,49,,
T,01/01/2018 2:09,45.521133,-73.654207,48,,
T,01/01/2018 2:09,45.522637,-73.653271,43,,
T,01/01/2018 2:09,45.52415,-73.652483,42,,
T,01/01/2018 2:10,45.525688,-73.651874,40,,
T,01/01/2018 2:10,45.527281,-73.651286,41,,
T,01/01/2018 2:10,45.528711,-73.650314,40,,
T,01/01/2018 2:10,45.530077,-73.649056,34,,
T,01/01/2018 2:10,45.531587,-73.648098,33,,
T,01/01/2018 2:10,45.533145,-73.647042,37,,
T,01/01/2018 2:11,45.534831,-73.645927,35,,
T,01/01/2018 2:11,45.536354,-73.644867,36,,
T,01/01/2018 2:11,45.537957,-73.643824,39,,
T,01/01/2018 2:11,45.539461,-73.642846,38,,
T,01/01/2018 2:11,45.540867,-73.641923,40,,
T,01/01/2018 2:11,45.54218,-73.641126,43,,
T,01/01/2018 2:12,45.543471,-73.640251,42,,
T,01/01/2018 2:12,45.544668,-73.639244,42,,
T,01/01/2018 2:12,45.546018,-73.638123,41,,
T,01/01/2018 2:12,45.547382,-73.636982,42,,
T,01/01/2018 2:12,45.548637,-73.635699,43,,
T,01/01/2018 2:12,45.549429,-73.634056,43,,
T,01/01/2018 2:13,45.549461,-73.632697,43,,
T,01/01/2018 2:13,45.549182,-73.631392,39,,
T,01/01/2018 2:13,45.549838,-73.630078,40,,
T,01/01/2018 2:14,45.550124,-73.629447,40,,
T,01/01/2018 2:14,45.549703,-73.628402,44,,
T,01/01/2018 2:14,45.549148,-73.62712,47,,
T,01/01/2018 2:15,45.548457,-73.625591,49,,
T,01/01/2018 2:15,45.547868,-73.624202,52,,
T,01/01/2018 2:15,45.547204,-73.622687,56,,
T,01/01/2018 2:15,45.546547,-73.621248,58,,
T,01/01/2018 2:15,45.545926,-73.619793,59,,
T,01/01/2018 2:15,45.545364,-73.618476,56,,
T,01/01/2018 2:16,45.544795,-73.617249,56,,
T,01/01/2018 2:16,45.544224,-73.61591,56,,
T,01/01/2018 2:18,45.54406,-73.61572,56,,
T,01/01/2018 2:18,45.543795,-73.615012,58,,
T,01/01/2018 2:18,45.543185,-73.613722,59,,
T,01/01/2018 2:19,45.542536,-73.612353,59,,
T,01/01/2018 2:19,45.542051,-73.612311,58,,
T,01/01/2018 2:19,45.541914,-73.612569,58,,
T,01/01/2018 2:19,45.541201,-73.612971,59,,
T,01/01/2018 2:20,45.540782,-73.613373,58,,
T,01/01/2018 2:20,45.541171,-73.614196,58,,
T,01/01/2018 2:20,45.541655,-73.615301,58,,
