typ,time,latitude,longitude,altitude (m),name,desc
T,31/12/2017 21:00,45.501098,-73.59901,169.4,,
T,31/12/2017 21:00,45.501004,-73.599046,170.4,,
T,31/12/2017 21:01,45.500903,-73.599181,169.4,,
T,31/12/2017 21:01,45.500776,-73.59935,169.4,,
T,31/12/2017 21:01,45.50071,-73.599438,169.4,,
T,31/12/2017 21:01,45.500652,-73.599516,169.4,,
T,31/12/2017 21:01,45.500588,-73.599593,169.4,,
T,31/12/2017 21:01,45.500429,-73.599775,168.4,,
T,31/12/2017 21:01,45.500227,-73.600015,168.4,,
T,31/12/2017 21:01,45.500029,-73.600269,165.4,,
T,31/12/2017 21:01,45.499872,-73.60059,162.4,,
T,31/12/2017 21:01,45.499769,-73.60096,161.4,,
T,31/12/2017 21:01,45.499777,-73.601276,160.4,,
T,31/12/2017 21:01,45.499803,-73.60164,160.4,,
T,31/12/2017 21:02,45.499853,-73.60191,161.4,,
T,31/12/2017 21:02,45.499901,-73.602157,162.4,,
T,31/12/2017 21:02,45.499831,-73.602325,163.4,,
T,31/12/2017 21:02,45.499685,-73.602423,163.4,,
T,31/12/2017 21:02,45.49953,-73.602535,162.4,,
T,31/12/2017 21:02,45.499394,-73.602643,161.4,,
T,31/12/2017 21:02,45.499282,-73.60274,159.4,,
T,31/12/2017 21:02,45.499156,-73.602846,157.4,,
T,31/12/2017 21:02,45.499049,-73.602935,157.4,,
T,31/12/2017 21:02,45.498978,-73.603004,157.4,,
T,31/12/2017 21:02,45.498982,-73.603219,157.4,,
T,31/12/2017 21:02,45.499072,-73.603535,157.4,,
T,31/12/2017 21:02,45.499142,-73.603828,157.4,,
T,31/12/2017 21:03,45.499187,-73.604212,157.4,,
T,31/12/2017 21:03,45.499224,-73.604555,157.4,,
T,31/12/2017 21:03,45.499253,-73.604796,157.4,,
T,31/12/2017 21:03,45.499324,-73.605092,158.4,,
T,31/12/2017 21:03,45.499446,-73.605335,160.4,,
T,31/12/2017 21:03,45.499496,-73.605465,160.4,,
T,31/12/2017 21:03,45.499405,-73.60568,160.4,,
T,31/12/2017 21:03,45.499305,-73.605896,158.4,,
T,31/12/2017 21:03,45.499266,-73.606136,155.4,,
T,31/12/2017 21:03,45.499272,-73.606275,155.4,,
T,31/12/2017 21:03,45.499248,-73.606432,154.4,,
T,31/12/2017 21:03,45.499121,-73.6066,153.4,,
T,31/12/2017 21:03,45.499014,-73.606734,153.4,,
T,31/12/2017 21:03,45.498886,-73.606775,151.4,,
T,31/12/2017 21:04,45.498792,-73.606649,149.4,,
T,31/12/2017 21:04,45.498743,-73.606406,148.4,,
T,31/12/2017 21:04,45.498743,-73.606166,148.4,,
T,31/12/2017 21:04,45.49876,-73.60585,147.4,,
T,31/12/2017 21:04,45.498805,-73.605668,147.4,,
T,31/12/2017 21:04,45.49896,-73.60539,149.4,,
T,31/12/2017 21:04,45.49901,-73.605145,151.4,,
T,31/12/2017 21:04,45.498943,-73.605066,150.4,,
T,31/12/2017 21:04,45.498814,-73.605207,147.4,,
T,31/12/2017 21:04,45.498718,-73.605324,145.4,,
T,31/12/2017 21:04,45.498538,-73.6056,142.4,,
T,31/12/2017 21:04,45.498434,-73.606043,140.4,,
T,31/12/2017 21:04,45.498394,-73.606433,138.4,,
T,31/12/2017 21:04,45.498436,-73.606813,137.4,,
T,31/12/2017 21:05,45.498426,-73.606958,137.4,,
T,31/12/2017 21:05,45.498251,-73.607073,135.4,,
T,31/12/2017 21:05,45.498108,-73.60718,134.4,,
T,31/12/2017 21:05,45.497891,-73.607505,132.4,,
T,31/12/2017 21:05,45.497751,-73.607873,131.4,,
T,31/12/2017 21:05,45.497612,-73.608208,130.4,,
T,31/12/2017 21:05,45.497523,-73.608374,127.4,,
T,31/12/2017 21:05,45.497462,-73.608457,127.4,,
T,31/12/2017 21:05,45.497274,-73.608582,127.4,,
T,31/12/2017 21:05,45.497149,-73.608689,127.4,,
T,31/12/2017 21:05,45.497012,-73.608783,125.4,,
T,31/12/2017 21:05,45.49687,-73.608783,125.4,,
T,31/12/2017 21:05,45.496729,-73.608721,125.4,,
T,31/12/2017 21:05,45.496592,-73.608658,125.4,,
T,31/12/2017 21:06,45.496466,-73.608659,124.4,,
T,31/12/2017 21:06,45.496348,-73.60867,126.4,,
T,31/12/2017 21:06,45.496219,-73.608692,127.4,,
T,31/12/2017 21:06,45.496131,-73.608711,130.4,,
T,31/12/2017 21:07,45.49605,-73.608708,133.4,,
T,31/12/2017 21:07,45.495892,-73.608636,133.4,,
T,31/12/2017 21:07,45.495783,-73.608232,132.4,,
T,31/12/2017 21:07,45.49568,-73.607865,134.4,,
T,31/12/2017 21:07,45.495635,-73.607707,134.4,,
T,31/12/2017 21:08,45.495619,-73.60763,134.4,,
T,31/12/2017 21:08,45.495494,-73.607219,134.4,,
T,31/12/2017 21:08,45.495333,-73.606667,135.4,,
T,31/12/2017 21:08,45.495113,-73.605861,136.4,,
T,31/12/2017 21:08,45.494943,-73.605177,137.4,,
T,31/12/2017 21:08,45.494842,-73.604466,139.4,,
T,31/12/2017 21:08,45.494862,-73.603819,141.4,,
T,31/12/2017 21:08,45.495044,-73.603051,146.4,,
T,31/12/2017 21:08,45.495206,-73.602496,149.4,,
T,31/12/2017 21:09,45.495349,-73.601995,152.4,,
T,31/12/2017 21:09,45.495473,-73.6013,153.4,,
T,31/12/2017 21:09,45.4955,-73.600565,151.4,,
T,31/12/2017 21:09,45.49546,-73.599966,150.4,,
T,31/12/2017 21:09,45.495429,-73.599343,148.4,,
T,31/12/2017 21:09,45.495397,-73.598542,145.4,,
T,31/12/2017 21:09,45.495365,-73.597891,143.4,,
T,31/12/2017 21:09,45.495294,-73.597384,141.4,,
T,31/12/2017 21:09,45.495196,-73.597063,139.4,,
T,31/12/2017 21:09,45.495158,-73.596961,138.4,,
T,31/12/2017 21:09,45.495078,-73.596766,137.4,,
T,31/12/2017 21:09,45.494946,-73.596427,135.4,,
T,31/12/2017 21:10,45.494772,-73.595946,132.4,,
T,31/12/2017 21:10,45.494634,-73.595454,128.4,,
T,31/12/2017 21:10,45.494621,-73.594915,127.4,,
T,31/12/2017 21:10,45.494648,-73.594315,124.4,,
T,31/12/2017 21:10,45.494773,-73.593669,122.4,,
T,31/12/2017 21:10,45.494919,-73.593048,121.4,,
T,31/12/2017 21:10,45.494988,-73.592678,119.4,,
T,31/12/2017 21:10,45.494992,-73.592351,117.4,,
T,31/12/2017 21:10,45.494985,-73.592163,116.4,,
T,31/12/2017 21:10,45.494969,-73.591714,114.4,,
T,31/12/2017 21:10,45.494954,-73.591151,111.4,,
T,31/12/2017 21:10,45.494985,-73.5907,108.4,,
T,31/12/2017 21:10,45.495065,-73.590067,104.4,,
T,31/12/2017 21:10,45.49518,-73.589387,99.4,,
T,31/12/2017 21:11,45.495381,-73.588553,93.3,,
T,31/12/2017 21:11,45.495698,-73.587803,86.3,,
T,31/12/2017 21:11,45.495964,-73.587315,84.3,,
T,31/12/2017 21:11,45.496231,-73.586928,83.3,,
T,31/12/2017 21:11,45.496452,-73.586652,81.3,,
T,31/12/2017 21:11,45.49673,-73.586403,81.3,,
T,31/12/2017 21:11,45.497019,-73.586163,80.3,,
T,31/12/2017 21:11,45.497268,-73.585954,81.3,,
T,31/12/2017 21:11,45.497606,-73.58567,79.3,,
T,31/12/2017 21:11,45.497904,-73.585422,79.3,,
T,31/12/2017 21:11,45.49823,-73.585137,78.3,,
T,31/12/2017 21:11,45.498541,-73.584883,75.3,,
T,31/12/2017 21:11,45.498908,-73.584551,75.3,,
T,31/12/2017 21:12,45.499316,-73.584156,76.3,,
T,31/12/2017 21:12,45.499627,-73.583849,76.3,,
T,31/12/2017 21:12,45.500062,-73.583409,76.3,,
T,31/12/2017 21:12,45.500378,-73.583102,75.3,,
T,31/12/2017 21:12,45.500732,-73.582735,75.3,,
T,31/12/2017 21:12,45.500963,-73.582457,76.3,,
T,31/12/2017 21:12,45.501076,-73.582296,76.3,,
T,31/12/2017 21:12,45.501125,-73.582227,77.3,,
T,31/12/2017 21:12,45.50135,-73.581922,76.3,,
T,31/12/2017 21:13,45.501663,-73.581553,75.3,,
T,31/12/2017 21:13,45.501921,-73.581264,74.3,,
T,31/12/2017 21:13,45.502232,-73.580926,73.3,,
T,31/12/2017 21:13,45.50263,-73.58047,71.3,,
T,31/12/2017 21:13,45.502907,-73.580128,70.3,,
T,31/12/2017 21:13,45.503217,-73.579753,67.3,,
T,31/12/2017 21:13,45.503547,-73.579253,64.3,,
T,31/12/2017 21:13,45.503948,-73.578723,62.3,,
T,31/12/2017 21:13,45.50429,-73.578537,61.3,,
T,31/12/2017 21:13,45.504807,-73.578471,61.3,,
T,31/12/2017 21:13,45.505258,-73.578495,64.3,,
T,31/12/2017 21:13,45.505605,-73.57853,64.3,,
T,31/12/2017 21:13,45.50603,-73.578596,67.3,,
T,31/12/2017 21:13,45.506325,-73.578821,68.3,,
T,31/12/2017 21:14,45.506665,-73.579434,71.3,,
T,31/12/2017 21:14,45.506902,-73.579969,77.3,,
T,31/12/2017 21:14,45.507043,-73.580323,81.3,,
T,31/12/2017 21:14,45.507124,-73.580448,83.3,,
T,31/12/2017 21:14,45.507476,-73.580357,79.3,,
T,31/12/2017 21:14,45.507885,-73.580199,75.3,,
T,31/12/2017 21:14,45.508313,-73.580023,72.3,,
T,31/12/2017 21:14,45.508671,-73.579837,70.3,,
T,31/12/2017 21:14,45.508998,-73.579652,66.3,,
T,31/12/2017 21:14,45.50933,-73.579445,65.3,,
T,31/12/2017 21:14,45.509646,-73.579154,63.3,,
T,31/12/2017 21:14,45.510031,-73.578811,60.3,,
T,31/12/2017 21:14,45.510266,-73.578625,57.3,,
T,31/12/2017 21:15,45.510518,-73.578395,58.3,,
T,31/12/2017 21:15,45.510641,-73.578333,57.3,,
T,31/12/2017 21:15,45.510905,-73.57823,56.3,,
T,31/12/2017 21:15,45.511204,-73.578116,56.3,,
T,31/12/2017 21:15,45.511357,-73.578036,54.3,,
T,31/12/2017 21:15,45.511393,-73.577869,55.3,,
T,31/12/2017 21:15,45.511144,-73.577312,53.3,,
T,31/12/2017 21:15,45.510958,-73.576898,50.3,,
T,31/12/2017 21:15,45.510853,-73.576634,49.3,,
T,31/12/2017 21:15,45.510715,-73.576291,48.3,,
T,31/12/2017 21:15,45.51056,-73.575927,47.3,,
T,31/12/2017 21:15,45.510419,-73.575669,48.3,,
T,31/12/2017 21:15,45.510338,-73.575551,50.3,,
T,31/12/2017 21:17,45.510303,-73.575446,50.3,,
T,31/12/2017 21:17,45.510168,-73.575153,50.3,,
T,31/12/2017 21:17,45.510047,-73.574921,49.3,,
T,31/12/2017 21:17,45.509937,-73.574665,49.3,,
