type,time,latitude,longitude,altitude (m),name,des
T,30/12/2017 20:57,45.502498,-73.554729,16,,
T,30/12/2017 20:57,45.501988,-73.555092,16,,
T,30/12/2017 20:57,45.501344,-73.555463,15,,
T,30/12/2017 20:58,45.500855,-73.55588,15,,
T,30/12/2017 20:58,45.50041,-73.55629,15,,
T,30/12/2017 20:58,45.500057,-73.556776,14,,
T,30/12/2017 20:58,45.500483,-73.558062,9,,
T,30/12/2017 20:59,45.500579,-73.558339,9,,
T,30/12/2017 20:59,45.500942,-73.559399,12,,
T,30/12/2017 20:59,45.501309,-73.559352,16,,
