,29.51164,16.15885,15.74224,14.86224,21.767,21.06473,19.6521,21.28708,24.28497
22.34882,30.9471,23.07694,23.15215,24.37024,34.3951,33.62119,33.36569,31.36029,25.74537
16.35451,14.66978,15.40572,14.5112,16.07967,24.03327,24.52637,25.73304,26.79577,29.01941
13.48627,15.82677,12.71424,13.48496,50.37222,18.78311,17.40903,16.94435,17.56104,20.03314
14.61939,15.55003,13.52115,13.25977,16.01928,25.5098,25.60857,22.64298,24.32509,28.94527
14.97474,15.67284,13.4512,14.38313,14.72905,29.25993,28.1209,27.40278,23.97376,28.72513
7.859371,8.291212,7.749345,6.622422,,12.87764,14.12169,27.5634,14.84976,13.10346
117.281,119.7865,143.7547,132.4827,108.5681,167.9865,200.2183,239.3608,235.6,250.2958
33.74415,28.54996,22.46187,35.20577,36.00677,51.61887,56.52271,53.10361,55.41649,56.79251
118.2456,122.0668,126.2883,123.5539,117.5779,201.345,255.3851,270.5119,286.7007,277.8822
189.5472,368.804,185.9651,251.7152,224.9239,320.5411,318.9465,309.647,317.3779,499.5444
116.1881,118.076,147.0793,164.0317,152.7035,209.5356,275.4167,277.8118,261.8069,314.0369
