0.177,0.129,0.133,0.133,0.148,0.162,0.138,0.138,0.163,0.147
0.374,0.355,0.267,0.208,0.583,0.271,0.549,0.412,0.339,0.029
0.164,0.132,0.144,0.124,0.141,0.127,0.13,0.139,0.144,0.111
0.067,0.075,0.082,0.051,0.047,0.079,0.054,0.069,0.009,0.087
0.143,0.123,0.129,0.147,0.148,0.139,0.154,0.13,0.117,0.127
0.199,0.206,0.259,0.318,0.242,0.229,0.222,0.256,0.208,0.236
0.295,0.175,0.253,0.257,0.278,0.228,0.257,0.258,0.258,0.184
5.095,3.273,3.473,3.586,3.937,3.412,4.957,4.422,3.681,3.913
0.223,0.186,0.232,0.051,0.246,0.199,0.183,0.243,0.223,0.247
1.688,1.768,1.842,1.768,1.744,1.784,1.833,1.8,1.788,1.701
3.929,3.899,6.927,5.133,4.366,3.98,4.079,,5.396,3.847
4.377,4.448,4.022,4.414,4.163,4.084,4.252,4.117,4.073,4.286
